"Data";"DataReferencia";"Mediana"
2021-06-18;ago 2021;"5"
2021-06-18;set 2021;"5,5"
2021-06-18;out 2021;"6"
2021-06-18;dez 2021;"6,5"
2021-06-18;jan 2022;"6,5"
2021-06-18;fev 2022;"6,5"
2021-06-18;mar 2022;"6,5"
2021-06-18;abr 2022;"6,5"
2021-06-18;mai 2022;"6,5"
2021-06-18;jun 2022;"6,5"
2021-06-18;jul 2022;"6,5"
2021-06-18;ago 2022;"6,5"
2021-06-18;set 2022;"6,5"
2021-06-18;out 2022;"6,5"
2021-06-18;nov 2022;"6,5"
2021-06-18;dez 2022;"6,5"
2021-06-18;jan 2023;"6,5"
2021-06-18;fev 2023;"6,5"
2021-06-18;mar 2023;"6,5"
2021-06-18;abr 2023;"6,5"
2021-06-18;mai 2023;"6,5"
2021-06-18;jun 2023;"6,5"
2021-06-18;jul 2023;"6,5"
