"Data";"Meta Selic";"Taxa média de juros das operações de crédito com recursos livres - Total - % a.a."
Mar 2011;11,75;37,92
Apr 2011;12;38,71
May 2011;12;38,4
Jun 2011;12,25;38,28
Jul 2011;12,5;38,67
Aug 2011;12,5;37,7
Sep 2011;12;37,99
Oct 2011;11,5;38,39
Nov 2011;11,5;37,56
Dec 2011;11;35,54
Jan 2012;10,5;36,8
Feb 2012;10,5;37,22
Mar 2012;9,75;36,71
Apr 2012;9;35,68
May 2012;8,5;33,5
Jun 2012;8,5;32,6
Jul 2012;8;31,97
Aug 2012;7,5;31,36
Sep 2012;7,5;31,16
Oct 2012;7,25;30,46
Nov 2012;7,25;30,3
Dec 2012;7,25;28,89
Jan 2013;7,25;29,64
Feb 2013;7,25;30,35
Mar 2013;7,25;29,89
Apr 2013;7,5;30
May 2013;8;29,74
Jun 2013;8;30,2
Jul 2013;8,5;30,98
Aug 2013;9;31,49
Sep 2013;9;31,76
Oct 2013;9,5;32,37
Nov 2013;10;32,84
Dec 2013;10;32,37
Jan 2014;10,5;34
Feb 2014;10,75;35,3
Mar 2014;10,75;35,45
Apr 2014;11;35,32
May 2014;11;35,58
Jun 2014;11;35,79
Jul 2014;11;36,06
Aug 2014;11;36,16
Sep 2014;11;35,63
Oct 2014;11,25;36,85
Nov 2014;11,25;37,13
Dec 2014;11,75;36,41
Jan 2015;12,25;38,32
Feb 2015;12,25;39,77
Mar 2015;12,75;39,94
Apr 2015;13,25;40,91
May 2015;13,25;41,79
Jun 2015;13,75;42,6
Jul 2015;14,25;43,54
Aug 2015;14,25;44,5
Sep 2015;14,25;45,56
Oct 2015;14,25;46,83
Nov 2015;14,25;47,42
Dec 2015;14,25;46,3
Jan 2016;14,25;48,78
Feb 2016;14,25;49,88
Mar 2016;14,25;50,07
Apr 2016;14,25;51,21
May 2016;14,25;51,12
Jun 2016;14,25;50,93
Jul 2016;14,25;51,6
Aug 2016;14,25;52,1
Sep 2016;14,25;52,43
Oct 2016;14;53,06
Nov 2016;14;52,95
Dec 2016;13,75;50,99
Jan 2017;13;52
Feb 2017;12,25;52,2
Mar 2017;12,25;51,23
Apr 2017;11,25;48,11
May 2017;11,25;46,48
Jun 2017;10,25;45,36
Jul 2017;9,25;45,67
Aug 2017;9,25;44,65
Sep 2017;8,25;42,36
Oct 2017;7,5;42,65
Nov 2017;7,5;41,83
Dec 2017;7;39,49
Jan 2018;7;40,38
Feb 2018;6,75;41,31
Mar 2018;6,5;40,64
Apr 2018;6,5;40,08
May 2018;6,5;38,42
Jun 2018;6,5;37,89
Jul 2018;6,5;37,47
Aug 2018;6,5;37,27
Sep 2018;6,5;37,35
Oct 2018;6,5;37,46
Nov 2018;6,5;37,3
Dec 2018;6,5;35
Jan 2019;6,5;37,12
Feb 2019;6,5;37,91
Mar 2019;6,5;38,32
Apr 2019;6,5;38,32
May 2019;6,5;37,89
Jun 2019;6,5;37,64
Jul 2019;6,5;37,4
Aug 2019;6;37,22
Sep 2019;5,5;36,06
Oct 2019;5;35,25
Nov 2019;5;35,55
Dec 2019;4,5;33,35
Jan 2020;4,5;33,73
Feb 2020;4,25;34,18
Mar 2020;3,75;33,36
Apr 2020;3,75;31,34
May 2020;3;29,7
Jun 2020;2,25;27,29
Jul 2020;2,25;27,35
Aug 2020;2;26,57
Sep 2020;2;25,77
Oct 2020;2;26,49
Nov 2020;2;NA
