"Data";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2020-10-23;"18,19";"4,38";"4,04";"3,76";"3,6"
2020-10-26;"18,26";"4,39";"4,04";"3,76";"3,6"
2020-10-27;"18,26";"4,39";"4,04";"3,76";"3,6"
2020-10-28;"18,26";"4,39";"4,04";"3,76";"3,6"
2020-10-29;"18,76";"4,41";"4,04";"3,76";"3,6"
2020-10-30;"19,07";"4,52";"4,07";"3,8";"3,66"
2020-11-03;"19,15";"4,52";"4,07";"3,8";"3,66"
2020-11-04;"19,14";"4,52";"4,07";"3,8";"3,66"
2020-11-05;"19,14";"4,52";"4,07";"3,8";"3,66"
2020-11-06;"21,06";"4,48";"4,12";"3,84";"3,69"
2020-11-09;"21,06";"4,49";"4,14";"3,88";"3,74"
2020-11-10;"21,42";"4,51";"4,14";"3,88";"3,74"
2020-11-11;"21,53";"4,51";"4,14";"3,88";"3,74"
2020-11-12;"21,56";"4,52";"4,14";"3,88";"3,74"
2020-11-13;"21,69";"4,52";"4,15";"3,9";"3,75"
2020-11-16;"21,88";"4,58";"4,1";"3,83";"3,67"
2020-11-17;"21,91";"4,4";"4,1";"3,83";"3,67"
2020-11-18;"22,07";"4,22";"4,1";"3,83";"3,67"
2020-11-19;"22,49";"4,33";"4,2";"3,92";"3,8"
2020-11-20;"22,82";"4,31";"4,19";"3,92";"3,8"
