"Data";"Media 2019";"Mediana 2019";"Media 2020";"Mediana 2020";"Media 2021";"Mediana 2021";"Media 2022";"Mediana 2022";"Media 2023";"Mediana 2023"
2019-10-28;"3,28";"3,3";"3,61";"3,6";"3,75";"3,75";"3,58";"3,5";"3,53";"3,5"
2019-10-29;"3,28";"3,3";"3,6";"3,6";"3,75";"3,75";"3,58";"3,5";"3,53";"3,5"
2019-10-30;"3,28";"3,3";"3,61";"3,6";"3,75";"3,75";"3,58";"3,5";"3,53";"3,5"
2019-10-31;"3,28";"3,3";"3,61";"3,6";"3,75";"3,75";"3,58";"3,5";"3,53";"3,5"
2019-11-01;"3,28";"3,29";"3,6";"3,6";"3,74";"3,75";"3,58";"3,5";"3,53";"3,5"
2019-11-04;"3,28";"3,29";"3,59";"3,6";"3,74";"3,75";"3,58";"3,5";"3,52";"3,5"
2019-11-05;"3,28";"3,29";"3,59";"3,59";"3,74";"3,75";"3,58";"3,5";"3,52";"3,5"
2019-11-06;"3,28";"3,29";"3,59";"3,59";"3,74";"3,75";"3,58";"3,5";"3,52";"3,5"
2019-11-07;"3,3";"3,31";"3,59";"3,6";"3,74";"3,75";"3,58";"3,5";"3,52";"3,5"
2019-11-08;"3,31";"3,31";"3,59";"3,6";"3,74";"3,75";"3,57";"3,5";"3,52";"3,5"
