"Data";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2020-10-16;"17,21";"4,26";"4,1";"3,82";"3,66"
2020-10-19;"17,48";"4,29";"4,07";"3,79";"3,62"
2020-10-20;"17,62";"4,3";"4,07";"3,79";"3,62"
2020-10-21;"17,62";"4,3";"4,07";"3,79";"3,62"
2020-10-22;"17,67";"4,3";"4,07";"3,79";"3,62"
2020-10-23;"18,19";"4,38";"4,04";"3,76";"3,6"
2020-10-26;"18,26";"4,39";"4,04";"3,76";"3,6"
2020-10-27;"18,26";"4,39";"4,04";"3,76";"3,6"
2020-10-28;"18,26";"4,39";"4,04";"3,76";"3,6"
2020-10-29;"18,76";"4,41";"4,04";"3,76";"3,6"
2020-10-30;"19,07";"4,52";"4,07";"3,8";"3,66"
2020-11-03;"19,15";"4,52";"4,07";"3,8";"3,66"
2020-11-04;"19,14";"4,52";"4,07";"3,8";"3,66"
2020-11-05;"19,14";"4,52";"4,07";"3,8";"3,66"
2020-11-06;"21,06";"4,48";"4,12";"3,84";"3,69"
2020-11-09;"21,06";"4,49";"4,14";"3,88";"3,74"
2020-11-10;"21,42";"4,51";"4,14";"3,88";"3,74"
2020-11-11;"21,53";"4,51";"4,14";"3,88";"3,74"
2020-11-12;"21,56";"4,52";"4,14";"3,88";"3,74"
2020-11-13;"21,69";"4,52";"4,15";"3,9";"3,75"
