"Data";"Desvio Padrão 2021 Q1";"Desvio Padrão 2021 Q2";"Desvio Padrão 2021 Q3";"Desvio Padrão 2021 Q4";"Desvio Padrão 2022 Q1";"Desvio Padrão 2022 Q2";"Desvio Padrão 2022 Q3";"Desvio Padrão 2022 Q4";"Desvio Padrão 2023 Q1";"Media 2021 Q1";"Media 2021 Q2";"Media 2021 Q3";"Media 2021 Q4";"Media 2022 Q1";"Media 2022 Q2";"Media 2022 Q3";"Media 2022 Q4";"Media 2023 Q1"
2021-05-05;"1,07";"2,11";"0,82";NA;"0,89";"1,35";NA;"0,76";NA;"-0,34";"8,9";"3,06";NA;"2,11";"2,6";NA;"2,21";NA
2021-05-06;"1,06";"2,09";"0,83";"1,05";"0,89";"1,34";"0,78";"0,76";NA;"-0,33";"8,91";"3,08";"1,62";"2,13";"2,61";"2,51";"2,23";NA
2021-05-07;"1,02";"2,12";"0,79";"1,01";"0,88";"1,31";"0,77";"0,76";NA;"-0,31";"8,92";"3,15";"1,66";"2,15";"2,62";"2,47";"2,18";NA
2021-05-10;"1,12";"2,14";"0,8";"1,01";"0,88";"1,31";"0,61";"0,76";NA;"-0,22";"8,91";"3,15";"1,65";"2,15";"2,62";"2,4";"2,18";NA
2021-05-11;"1,13";"2,14";"0,79";"1,01";"0,87";"1,3";"0,6";"0,75";NA;"-0,18";"8,96";"3,15";"1,66";"2,16";"2,62";"2,4";"2,19";NA
2021-05-12;"1,15";"2,14";"0,81";"0,98";"0,94";"1,29";"0,61";"0,75";NA;"-0,21";"8,98";"3,19";"1,68";"2,24";"2,66";"2,42";"2,19";NA
2021-05-13;"1,19";"2,16";"0,84";"1";"0,92";"1,29";"0,61";"0,75";NA;"-0,17";"8,92";"3,24";"1,69";"2,28";"2,67";"2,42";"2,19";NA
2021-05-14;"1,22";"1,64";"0,82";"0,95";"0,96";"1,1";"0,53";"0,66";NA;"0,04";"9,54";"3,41";"1,79";"2,19";"2,4";"2,37";"2,17";NA
2021-05-17;"1,21";"1,6";"0,83";"0,96";"0,96";"1,1";"0,53";"0,66";NA;"0,05";"9,58";"3,42";"1,81";"2,19";"2,4";"2,37";"2,17";NA
2021-05-18;"1,24";"1,64";"0,87";"0,96";"0,97";"1,04";"0,5";"0,65";NA;"0,14";"9,63";"3,45";"1,82";"2,17";"2,46";"2,35";"2,17";NA
2021-05-19;"1,24";"1,64";"0,87";"0,96";"0,97";"1,04";"0,5";"0,65";NA;"0,14";"9,63";"3,46";"1,82";"2,17";"2,46";"2,35";"2,17";NA
2021-05-20;"1,27";"1,63";"0,85";"0,95";"0,98";"1,03";"0,48";"0,64";NA;"0,14";"9,63";"3,48";"1,83";"2,19";"2,43";"2,33";"2,15";NA
2021-05-21;"1,24";"1,66";"0,85";"0,96";"0,97";"1,03";"0,47";"0,66";NA;"0,19";"9,72";"3,51";"1,87";"2,23";"2,44";"2,34";"2,14";NA
2021-05-24;"1,22";"1,71";"0,87";"0,97";"0,96";"0,74";"0,46";"0,61";NA;"0,36";"9,84";"3,57";"1,89";"2,15";"2,34";"2,37";"2,22";NA
2021-05-25;"1,16";"1,73";"0,86";"0,96";"0,96";"0,74";"0,46";"0,61";NA;"0,31";"9,88";"3,56";"1,88";"2,15";"2,34";"2,37";"2,22";NA
2021-05-26;"1,19";"1,76";"0,85";"0,92";"0,96";"0,76";"0,5";"0,62";NA;"0,29";"9,89";"3,6";"1,93";"2,23";"2,39";"2,36";"2,2";NA
2021-05-27;"1,11";"1,48";"0,87";"0,94";"0,96";"0,76";"0,5";"0,62";NA;"0,24";"10,02";"3,58";"1,89";"2,23";"2,39";"2,36";"2,2";NA
2021-05-28;"1,03";"1,64";"0,97";"0,99";"1,02";"0,93";"0,53";"0,6";NA;"0,42";"10,28";"3,74";"2,02";"2,24";"2,33";"2,33";"2,19";NA
2021-05-31;"1,01";"1,67";"0,98";"0,97";"1,01";"0,95";"0,53";"0,61";NA;"0,46";"10,28";"3,75";"2,06";"2,3";"2,33";"2,35";"2,21";NA
2021-06-01;NA;"1,72";"0,95";"0,95";"1";"0,96";"0,53";"0,63";NA;NA;"10,34";"3,86";"2,07";"2,31";"2,32";"2,36";"2,26";NA
2021-06-02;NA;"1,82";"0,99";"0,91";"0,96";"0,94";"0,56";"0,65";"0,38";NA;"10,65";"4";"2,1";"2,3";"2,34";"2,38";"2,28";"2,53"
