"Data";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2020-10-16;"22,85";"4,05";"4,05";"4";"4"
2020-10-19;"23,26";"4,05";"4,05";"4";"4"
2020-10-20;"24,35";"4,05";"4,05";"4";"4"
2020-10-21;"24,35";"4,05";"4,05";"4";"4"
2020-10-22;"24,82";"4,05";"4,05";"4";"4"
2020-10-23;"22,76";"4,37";"3,78";"3,63";"3,83"
2020-10-26;"23,15";"4,37";"3,78";"3,63";"3,83"
2020-10-27;"23,15";"4,37";"3,78";"3,63";"3,83"
2020-10-28;"23,15";"4,37";"3,78";"3,63";"3,83"
2020-10-29;"23,15";"4,37";"3,78";"3,63";"3,83"
2020-10-30;"23,15";"4,37";"3,78";"3,63";"3,83"
2020-11-03;"23,24";"4,37";"3,78";"3,63";"3,83"
2020-11-04;"23,24";"4,37";"3,78";"3,63";"3,83"
2020-11-05;"23,24";"4,37";"3,78";"3,63";"3,83"
2020-11-06;"25,65";"4,37";"3,78";"3,63";"3,83"
2020-11-09;"25,65";"4,37";"3,78";"3,63";"3,83"
2020-11-10;"25,65";"4,37";"3,78";"3,63";"3,83"
2020-11-11;"25,65";"4,37";"3,78";"3,63";"3,83"
2020-11-12;"25,65";"4,37";"3,78";"3,63";"3,83"
2020-11-13;"25,65";"4,37";"3,78";"3,63";"3,83"
