"Data";"Desvio Padrão 2020";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Mediana 2020";"Mediana 2021";"Mediana 2022";"Mediana 2023";"Mediana 2024"
2020-11-09;"0,18";"0,4";"0,32";"0,27";"0,32";"3,21";"3,21";"3,41";"3,31";"3,24";"3,22";"3,19";"3,5";"3,25";"3,22"
2020-11-10;"0,18";"0,4";"0,32";"0,27";"0,32";"3,22";"3,21";"3,41";"3,31";"3,24";"3,22";"3,2";"3,5";"3,25";"3,22"
2020-11-11;"0,18";"0,4";"0,32";"0,27";"0,32";"3,22";"3,21";"3,41";"3,31";"3,24";"3,23";"3,2";"3,5";"3,25";"3,22"
2020-11-12;"0,18";"0,4";"0,32";"0,27";"0,32";"3,22";"3,22";"3,41";"3,31";"3,24";"3,23";"3,2";"3,5";"3,25";"3,22"
2020-11-13;"0,2";"0,38";"0,32";"0,28";"0,32";"3,25";"3,23";"3,4";"3,3";"3,24";"3,25";"3,22";"3,5";"3,25";"3,22"
2020-11-16;"0,19";"0,38";"0,32";"0,28";"0,32";"3,28";"3,25";"3,4";"3,3";"3,24";"3,29";"3,25";"3,5";"3,25";"3,23"
2020-11-17;"0,19";"0,37";"0,32";"0,28";"0,32";"3,3";"3,26";"3,4";"3,3";"3,24";"3,31";"3,26";"3,5";"3,25";"3,24"
2020-11-18;"0,2";"0,36";"0,32";"0,28";"0,32";"3,31";"3,26";"3,4";"3,3";"3,24";"3,32";"3,26";"3,5";"3,25";"3,24"
2020-11-19;"0,2";"0,35";"0,32";"0,28";"0,32";"3,34";"3,27";"3,39";"3,3";"3,24";"3,35";"3,26";"3,5";"3,25";"3,2"
2020-11-20;"0,19";"0,35";"0,32";"0,27";"0,32";"3,42";"3,39";"3,4";"3,3";"3,24";"3,45";"3,4";"3,5";"3,25";"3,24"
