"Data";"Desvio Padrão 2020";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Desvio Padrão 2025";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025"
2020-12-01;"0,41";"0,62";"0,56";"0,47";"0,48";NA;"-4,51";"3,43";"2,41";"2,38";"2,34";NA
2020-12-02;"0,41";"0,61";"0,55";"0,47";"0,48";NA;"-4,5";"3,44";"2,42";"2,38";"2,35";NA
2020-12-03;"0,32";"0,68";"0,54";"0,47";"0,48";NA;"-4,43";"3,41";"2,44";"2,39";"2,36";NA
2020-12-04;"0,29";"0,66";"0,55";"0,47";"0,48";NA;"-4,43";"3,42";"2,43";"2,39";"2,36";NA
2020-12-07;"0,29";"0,66";"0,56";"0,48";"0,49";NA;"-4,43";"3,41";"2,43";"2,38";"2,35";NA
2020-12-08;"0,29";"0,66";"0,56";"0,48";"0,49";NA;"-4,43";"3,41";"2,43";"2,38";"2,35";NA
2020-12-09;"0,29";"0,66";"0,56";"0,48";"0,49";NA;"-4,43";"3,41";"2,43";"2,38";"2,35";NA
2020-12-10;"0,29";"0,67";"0,54";"0,47";"0,48";NA;"-4,43";"3,41";"2,45";"2,39";"2,37";NA
2020-12-11;"0,29";"0,67";"0,55";"0,47";"0,49";NA;"-4,42";"3,42";"2,46";"2,4";"2,38";NA
2020-12-14;"0,29";"0,67";"0,53";"0,47";"0,48";NA;"-4,42";"3,41";"2,44";"2,41";"2,39";NA
2020-12-15;"0,29";"0,67";"0,54";"0,47";"0,48";NA;"-4,42";"3,41";"2,45";"2,41";"2,39";NA
2020-12-16;"0,29";"0,67";"0,54";"0,47";"0,48";NA;"-4,42";"3,41";"2,45";"2,41";"2,39";NA
2020-12-17;"0,29";"0,67";"0,54";"0,47";"0,48";NA;"-4,42";"3,39";"2,45";"2,42";"2,39";NA
2020-12-18;"0,28";"0,67";"0,54";"0,47";"0,48";NA;"-4,41";"3,39";"2,45";"2,42";"2,39";NA
2020-12-21;"0,29";"0,68";"0,49";"0,41";"0,43";NA;"-4,4";"3,39";"2,47";"2,42";"2,39";NA
2020-12-22;"0,29";"0,68";"0,49";"0,41";"0,43";NA;"-4,4";"3,39";"2,47";"2,42";"2,39";NA
2020-12-23;"0,28";"0,67";"0,49";"0,41";"0,43";NA;"-4,4";"3,4";"2,47";"2,42";"2,39";NA
2020-12-24;"0,28";"0,66";"0,5";"0,41";"0,44";NA;"-4,4";"3,42";"2,46";"2,42";"2,41";NA
2020-12-28;"0,28";"0,68";"0,48";"0,41";"0,45";NA;"-4,39";"3,4";"2,44";"2,43";"2,42";NA
2020-12-29;"0,28";"0,67";"0,48";"0,41";"0,45";NA;"-4,4";"3,39";"2,43";"2,42";"2,41";NA
2020-12-30;"0,28";"0,67";"0,48";"0,41";"0,45";NA;"-4,4";"3,39";"2,43";"2,42";"2,41";NA
2020-12-31;"0,28";"0,67";"0,48";"0,41";"0,45";NA;"-4,4";"3,39";"2,43";"2,42";"2,41";NA
2021-01-04;"0,21";"0,56";"0,44";"0,43";"0,46";NA;"-4,39";"3,47";"2,41";"2,41";"2,41";NA
2021-01-05;"0,25";"0,58";"0,44";"0,48";"0,45";NA;"-4,41";"3,44";"2,41";"2,44";"2,41";NA
2021-01-06;"0,25";"0,58";"0,45";"0,48";"0,45";NA;"-4,41";"3,44";"2,41";"2,44";"2,41";NA
2021-01-07;"0,25";"0,6";"0,45";"0,48";"0,45";NA;"-4,42";"3,41";"2,39";"2,43";"2,4";NA
