"Data";"Desvio Padrão 2020";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Mediana 2020";"Mediana 2021";"Mediana 2022";"Mediana 2023";"Mediana 2024"
2020-10-23;"0,62";"0,28";"0,17";"0,18";"0,11";"3,49";"3,26";"3,44";"3,34";"3,41";"3,63";"3,3";"3,5";"3,4";"3,5"
2020-10-26;"0,63";"0,3";"0,17";"0,18";"0,11";"3,45";"3,21";"3,44";"3,34";"3,41";"3,69";"3,25";"3,5";"3,4";"3,5"
2020-10-27;"0,63";"0,3";"0,17";"0,18";"0,11";"3,45";"3,21";"3,44";"3,34";"3,41";"3,69";"3,25";"3,5";"3,4";"3,5"
2020-10-28;"0,63";"0,3";"0,17";"0,18";"0,11";"3,45";"3,21";"3,44";"3,34";"3,41";"3,69";"3,25";"3,5";"3,4";"3,5"
2020-10-29;"0,63";"0,3";"0,17";"0,18";"0,11";"3,45";"3,21";"3,44";"3,34";"3,41";"3,69";"3,25";"3,5";"3,4";"3,5"
2020-10-30;"0,63";"0,3";"0,17";"0,18";"0,11";"3,45";"3,21";"3,44";"3,34";"3,41";"3,69";"3,25";"3,5";"3,4";"3,5"
2020-11-03;"0,63";"0,3";"0,17";"0,18";"0,11";"3,45";"3,21";"3,44";"3,34";"3,41";"3,69";"3,25";"3,5";"3,4";"3,5"
2020-11-04;"0,63";"0,3";"0,17";"0,18";"0,11";"3,45";"3,21";"3,44";"3,34";"3,41";"3,69";"3,25";"3,5";"3,4";"3,5"
2020-11-05;"0,63";"0,3";"0,17";"0,18";"0,11";"3,45";"3,21";"3,44";"3,34";"3,41";"3,69";"3,25";"3,5";"3,4";"3,5"
2020-11-06;"0,63";"0,3";"0,22";"0,18";"0,11";"3,68";"3,21";"3,38";"3,34";"3,41";"3,83";"3,25";"3,5";"3,4";"3,5"
2020-11-09;"0,63";"0,3";"0,22";"0,18";"0,11";"3,68";"3,21";"3,38";"3,34";"3,41";"3,83";"3,25";"3,5";"3,4";"3,5"
2020-11-10;"0,61";"0,6";"0,22";"0,18";"0,11";"3,71";"3,39";"3,38";"3,34";"3,41";"3,84";"3,3";"3,5";"3,4";"3,5"
2020-11-11;"0,61";"0,6";"0,22";"0,18";"0,11";"3,71";"3,39";"3,38";"3,34";"3,41";"3,84";"3,3";"3,5";"3,4";"3,5"
2020-11-12;"0,6";"0,59";"0,22";"0,17";"0,12";"3,7";"3,41";"3,38";"3,3";"3,36";"3,84";"3,3";"3,5";"3,27";"3,3"
2020-11-13;"0,61";"0,59";"0,22";"0,17";"0,12";"3,72";"3,41";"3,38";"3,3";"3,36";"3,88";"3,3";"3,5";"3,27";"3,3"
2020-11-16;"0,62";"0,59";"0,22";"0,17";"0,12";"3,73";"3,41";"3,38";"3,3";"3,36";"3,96";"3,3";"3,5";"3,27";"3,3"
2020-11-17;"0,64";"0,57";"0,22";"0,17";"0,12";"3,76";"3,43";"3,38";"3,3";"3,36";"3,96";"3,3";"3,5";"3,27";"3,3"
2020-11-18;"0,64";"0,57";"0,22";"0,17";"0,12";"3,76";"3,43";"3,38";"3,3";"3,36";"3,96";"3,3";"3,5";"3,27";"3,3"
2020-11-19;"0,66";"0,57";"0,22";"0,17";"0,12";"3,82";"3,44";"3,38";"3,3";"3,36";"3,99";"3,3";"3,5";"3,27";"3,3"
2020-11-20;"0,68";"0,56";"0,22";"0,17";"0,12";"3,92";"3,46";"3,38";"3,3";"3,36";"4,2";"3,35";"3,5";"3,27";"3,3"
