"Data";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Desvio Padrão 2025";"Desvio Padrão 2026";"Desvio Padrão 2027";"Desvio Padrão 2028";"Desvio Padrão 2029";"Desvio Padrão 2030";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025";"Media 2026";"Media 2027";"Media 2028";"Media 2029";"Media 2030"
2021-04-27;"0,51";"0,67";"0,78";"0,79";"0,98";"1,15";"1,2";"1,35";"1,4";"1,41";"-3,23";"-2,11";"-1,31";"-0,96";"-0,51";"0,02";"0,3";"0,69";"0,95";"1,14"
2021-04-28;"0,51";"0,67";"0,78";"0,79";"0,98";"1,15";"1,2";"1,35";"1,4";"1,41";"-3,23";"-2,11";"-1,31";"-0,96";"-0,51";"0,02";"0,3";"0,69";"0,95";"1,14"
2021-04-29;"0,51";"0,67";"0,78";"0,79";"0,98";"1,15";"1,2";"1,35";"1,4";"1,41";"-3,23";"-2,11";"-1,31";"-0,96";"-0,51";"0,02";"0,3";"0,69";"0,95";"1,14"
2021-04-30;"0,52";"0,67";"0,78";"0,79";"0,98";"1,15";"1,2";"1,35";"1,4";"1,41";"-3,25";"-2,11";"-1,31";"-0,96";"-0,51";"0,02";"0,3";"0,69";"0,95";"1,14"
2021-05-03;"0,52";"0,68";"0,79";"0,8";"1";"1,19";"1,25";"1,41";"1,46";"1,46";"-3,27";"-2,1";"-1,27";"-0,92";"-0,48";"0,06";"0,33";"0,71";"0,94";"1,11"
2021-05-04;"0,52";"0,68";"0,79";"0,8";"1";"1,19";"1,25";"1,41";"1,46";"1,46";"-3,27";"-2,1";"-1,27";"-0,92";"-0,48";"0,06";"0,33";"0,71";"0,94";"1,11"
2021-05-05;"0,53";"0,68";"0,79";"0,8";"1";"1,19";"1,25";"1,41";"1,46";"1,46";"-3,29";"-2,11";"-1,27";"-0,92";"-0,48";"0,06";"0,33";"0,71";"0,94";"1,11"
2021-05-06;"0,53";"0,68";"0,79";"0,8";"1";"1,19";"1,25";"1,41";"1,46";"1,46";"-3,29";"-2,11";"-1,27";"-0,92";"-0,48";"0,06";"0,33";"0,71";"0,94";"1,11"
2021-05-07;"0,56";"0,7";"0,68";"0,59";"0,77";"0,83";"0,77";"0,89";"0,89";"0,81";"-3,28";"-2,12";"-1,16";"-0,77";"-0,3";"0,31";"0,63";"1,05";"1,3";"1,48"
2021-05-10;"0,55";"0,68";"0,68";"0,59";"0,77";"0,83";"0,77";"0,89";"0,89";"0,81";"-3,3";"-2,11";"-1,16";"-0,77";"-0,3";"0,31";"0,63";"1,05";"1,3";"1,48"
