"Data";"Desvio Padrão 2019";"Desvio Padrão 2020";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Media 2019";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2020-01-30;"0,22";"0,23";"0,34";"0,66";"0,69";NA;"-1,11";"-1,07";"-0,54";"0,17";"0,58";NA
2020-01-31;NA;"0,24";"0,32";"0,64";"0,68";"0,83";NA;"-1,06";"-0,51";"0,15";"0,54";"0,81"
2020-02-03;NA;"0,24";"0,32";"0,64";"0,68";"0,83";NA;"-1,06";"-0,51";"0,15";"0,54";"0,81"
2020-02-04;NA;"0,24";"0,32";"0,64";"0,68";"0,83";NA;"-1,06";"-0,51";"0,15";"0,54";"0,81"
2020-02-05;NA;"0,26";"0,34";"0,64";"0,66";"0,77";NA;"-1,08";"-0,56";"0,08";"0,45";"0,7"
2020-02-06;NA;"0,26";"0,34";"0,64";"0,66";"0,77";NA;"-1,08";"-0,56";"0,08";"0,45";"0,7"
2020-02-07;NA;"0,26";"0,34";"0,64";"0,66";"0,77";NA;"-1,08";"-0,56";"0,08";"0,45";"0,7"
2020-02-10;NA;"0,26";"0,34";"0,64";"0,66";"0,77";NA;"-1,08";"-0,56";"0,08";"0,45";"0,7"
2020-02-11;NA;"0,26";"0,34";"0,64";"0,66";"0,77";NA;"-1,08";"-0,56";"0,08";"0,45";"0,7"
2020-02-12;NA;"0,26";"0,34";"0,64";"0,66";"0,77";NA;"-1,08";"-0,56";"0,08";"0,45";"0,7"
2020-02-13;NA;"0,26";"0,34";"0,66";"0,68";"0,78";NA;"-1,08";"-0,56";"0,08";"0,47";"0,73"
2020-02-14;NA;"0,26";"0,34";"0,66";"0,68";"0,78";NA;"-1,08";"-0,56";"0,08";"0,47";"0,73"
2020-02-17;NA;"0,25";"0,34";"0,66";"0,63";"0,78";NA;"-1,08";"-0,56";"0,07";"0,4";"0,73"
2020-02-18;NA;"0,23";"0,32";"0,62";"0,48";"0,47";NA;"-1,12";"-0,59";"-0,01";"0,27";"0,55"
2020-02-19;NA;"0,23";"0,32";"0,62";"0,48";"0,47";NA;"-1,12";"-0,59";"-0,01";"0,27";"0,55"
2020-02-20;NA;"0,23";"0,32";"0,62";"0,48";"0,47";NA;"-1,12";"-0,59";"-0,01";"0,27";"0,55"
2020-02-21;NA;"0,23";"0,32";"0,62";"0,48";"0,47";NA;"-1,12";"-0,59";"-0,01";"0,27";"0,55"
2020-02-26;NA;"0,27";"0,29";"0,6";"0,43";"0,44";NA;"-1,06";"-0,52";"0,09";"0,31";"0,65"
2020-02-27;NA;"0,26";"0,37";"0,66";"0,55";"0,57";NA;"-1,08";"-0,5";"0,08";"0,34";"0,7"
2020-02-28;NA;"0,25";"0,36";"0,65";"0,56";"0,57";NA;"-1,08";"-0,5";"0,1";"0,38";"0,7"
2020-03-02;NA;"0,26";"0,38";"0,66";"0,57";"0,59";NA;"-1,08";"-0,5";"0,13";"0,41";"0,74"
2020-03-03;NA;"0,26";"0,37";"0,66";"0,57";"0,59";NA;"-1,07";"-0,48";"0,13";"0,41";"0,74"
2020-03-04;NA;"0,25";"0,35";"0,63";"0,6";"0,61";NA;"-1,06";"-0,48";"0,15";"0,51";"0,8"
2020-03-05;NA;"0,23";"0,32";"0,61";"0,58";"0,6";NA;"-1,05";"-0,46";"0,18";"0,51";"0,79"
2020-03-06;NA;"0,23";"0,32";"0,58";"0,57";"0,58";NA;"-1,06";"-0,48";"0,15";"0,49";"0,78"
2020-03-09;NA;"0,23";"0,33";"0,58";"0,56";"0,58";NA;"-1,07";"-0,49";"0,12";"0,47";"0,74"
2020-03-10;NA;"0,23";"0,33";"0,58";"0,56";"0,58";NA;"-1,07";"-0,49";"0,12";"0,47";"0,74"
2020-03-11;NA;"0,23";"0,33";"0,58";"0,56";"0,58";NA;"-1,07";"-0,49";"0,12";"0,47";"0,74"
2020-03-12;NA;"0,23";"0,33";"0,58";"0,56";"0,58";NA;"-1,07";"-0,49";"0,12";"0,47";"0,74"
2020-03-13;NA;"0,27";"0,34";"0,58";"0,55";"0,56";NA;"-1,12";"-0,54";"0,07";"0,43";"0,69"
2020-03-16;NA;"0,28";"0,35";"0,58";"0,55";"0,56";NA;"-1,12";"-0,54";"0,07";"0,43";"0,69"
2020-03-17;NA;"0,29";"0,35";"0,58";"0,55";"0,56";NA;"-1,13";"-0,55";"0,06";"0,43";"0,68"
2020-03-18;NA;"0,29";"0,35";"0,58";"0,55";"0,56";NA;"-1,13";"-0,55";"0,06";"0,43";"0,68"
