"Data";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Desvio Padrão 2025";"Desvio Padrão 2026";"Desvio Padrão 2027";"Desvio Padrão 2028";"Desvio Padrão 2029";"Desvio Padrão 2030";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025";"Media 2026";"Media 2027";"Media 2028";"Media 2029";"Media 2030"
2021-04-27;"0,75";"0,99";"1,31";"1,23";"1,12";"1,17";"1,12";"1,13";"1,1";"1,05";"-7,29";"-6,7";"-6,53";"-5,71";"-5,32";"-4,92";"-4,62";"-4,28";"-4,06";"-3,85"
2021-04-28;"0,75";"0,99";"1,31";"1,23";"1,12";"1,17";"1,12";"1,13";"1,1";"1,05";"-7,29";"-6,7";"-6,53";"-5,71";"-5,32";"-4,92";"-4,62";"-4,28";"-4,06";"-3,85"
2021-04-29;"0,75";"0,99";"1,31";"1,23";"1,12";"1,17";"1,12";"1,13";"1,1";"1,05";"-7,29";"-6,7";"-6,53";"-5,71";"-5,32";"-4,92";"-4,62";"-4,28";"-4,06";"-3,85"
2021-04-30;"0,8";"0,99";"1,31";"1,23";"1,12";"1,17";"1,12";"1,13";"1,1";"1,05";"-7,33";"-6,7";"-6,53";"-5,71";"-5,32";"-4,92";"-4,62";"-4,28";"-4,06";"-3,85"
2021-05-03;"0,83";"0,97";"1,1";"1,23";"1,12";"1,17";"1,12";"1,13";"1,1";"1,05";"-7,32";"-6,62";"-6,32";"-5,71";"-5,32";"-4,92";"-4,62";"-4,28";"-4,06";"-3,85"
2021-05-04;"0,83";"0,97";"1,1";"1,23";"1,12";"1,17";"1,12";"1,13";"1,1";"1,05";"-7,32";"-6,62";"-6,32";"-5,71";"-5,32";"-4,92";"-4,62";"-4,28";"-4,06";"-3,85"
2021-05-05;"0,85";"0,99";"1,1";"1,23";"1,12";"1,17";"1,12";"1,13";"1,1";"1,05";"-7,35";"-6,64";"-6,32";"-5,71";"-5,32";"-4,92";"-4,62";"-4,28";"-4,06";"-3,85"
2021-05-06;"0,85";"0,99";"1,1";"1,23";"1,12";"1,17";"1,12";"1,13";"1,1";"1,05";"-7,35";"-6,64";"-6,32";"-5,71";"-5,32";"-4,92";"-4,62";"-4,28";"-4,06";"-3,85"
2021-05-07;"0,86";"0,92";"1,07";"1,26";"1,17";"1,19";"1,16";"1,18";"1,16";"1,1";"-7,31";"-6,75";"-6,43";"-5,78";"-5,35";"-5,02";"-4,69";"-4,31";"-4,07";"-3,83"
2021-05-10;"0,86";"0,92";"1,07";"1,26";"1,17";"1,19";"1,16";"1,18";"1,16";"1,1";"-7,31";"-6,75";"-6,43";"-5,78";"-5,35";"-5,02";"-4,69";"-4,31";"-4,07";"-3,83"
2021-05-11;"0,86";"0,92";"1,07";"1,26";"1,17";"1,19";"1,16";"1,18";"1,16";"1,1";"-7,31";"-6,75";"-6,43";"-5,78";"-5,35";"-5,02";"-4,69";"-4,31";"-4,07";"-3,83"
2021-05-12;"0,86";"0,92";"1,07";"1,26";"1,17";"1,19";"1,16";"1,18";"1,16";"1,1";"-7,31";"-6,75";"-6,43";"-5,78";"-5,35";"-5,02";"-4,69";"-4,31";"-4,07";"-3,83"
2021-05-13;"0,89";"0,95";"1,04";"1,3";"1,21";"1,19";"1,16";"1,18";"1,16";"1,1";"-7,31";"-6,76";"-6,55";"-5,88";"-5,42";"-5,02";"-4,69";"-4,31";"-4,07";"-3,83"
2021-05-14;"0,83";"1,08";"1,08";"1,26";"1,17";"1,2";"1,16";"1,19";"1,17";"1,12";"-7,31";"-6,71";"-6,43";"-5,81";"-5,37";"-5,03";"-4,7";"-4,32";"-4,08";"-3,86"
2021-05-17;"0,83";"1,08";"1,08";"1,26";"1,17";"1,2";"1,16";"1,19";"1,17";"1,12";"-7,31";"-6,71";"-6,43";"-5,81";"-5,37";"-5,03";"-4,7";"-4,32";"-4,08";"-3,86"
2021-05-18;"0,8";"1,06";"1,08";"1,26";"1,17";"1,2";"1,16";"1,19";"1,17";"1,12";"-7,27";"-6,67";"-6,43";"-5,81";"-5,37";"-5,03";"-4,7";"-4,32";"-4,08";"-3,86"
