"Data";"Desvio Padrão 2019";"Desvio Padrão 2020";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Media 2019";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2020-01-30;"0,46";"0,72";"0,71";"0,97";"0,88";NA;"-6,19";"-5,55";"-5,19";"-4,95";"-4,58";NA
2020-01-31;NA;"0,73";"0,72";"1,01";"0,96";"1,13";NA;"-5,48";"-5,05";"-4,78";"-4,43";"-4,11"
2020-02-03;NA;"0,73";"0,72";"1,01";"0,96";"1,13";NA;"-5,48";"-5,05";"-4,78";"-4,43";"-4,11"
2020-02-04;NA;"0,73";"0,72";"1,01";"0,96";"1,13";NA;"-5,48";"-5,05";"-4,78";"-4,43";"-4,11"
2020-02-05;NA;"0,74";"0,72";"1,01";"0,84";"0,95";NA;"-5,49";"-5,08";"-4,84";"-4,55";"-4,26"
2020-02-06;NA;"0,74";"0,72";"1,01";"0,84";"0,95";NA;"-5,49";"-5,08";"-4,84";"-4,55";"-4,26"
2020-02-07;NA;"0,74";"0,72";"1,01";"0,84";"0,95";NA;"-5,49";"-5,08";"-4,84";"-4,55";"-4,26"
2020-02-10;NA;"0,74";"0,72";"1,01";"0,84";"0,95";NA;"-5,49";"-5,08";"-4,84";"-4,55";"-4,26"
2020-02-11;NA;"0,75";"0,72";"1";"0,83";"0,95";NA;"-5,48";"-5,08";"-4,83";"-4,53";"-4,24"
2020-02-12;NA;"0,75";"0,72";"1";"0,83";"0,95";NA;"-5,49";"-5,08";"-4,83";"-4,53";"-4,24"
2020-02-13;NA;"0,77";"0,74";"1,04";"0,85";"0,97";NA;"-5,5";"-5,08";"-4,8";"-4,48";"-4,16"
2020-02-14;NA;"0,77";"0,74";"1,04";"0,85";"0,97";NA;"-5,5";"-5,08";"-4,8";"-4,48";"-4,16"
2020-02-17;NA;"0,73";"0,72";"1";"0,81";"0,97";NA;"-5,46";"-5,07";"-4,77";"-4,48";"-4,15"
2020-02-18;NA;"0,73";"0,72";"1";"0,81";"0,97";NA;"-5,46";"-5,07";"-4,77";"-4,48";"-4,15"
2020-02-19;NA;"0,73";"0,72";"1";"0,81";"0,97";NA;"-5,46";"-5,07";"-4,77";"-4,48";"-4,15"
2020-02-20;NA;"0,73";"0,72";"1";"0,81";"0,97";NA;"-5,46";"-5,07";"-4,77";"-4,48";"-4,15"
2020-02-21;NA;"0,73";"0,72";"1";"0,81";"0,97";NA;"-5,48";"-5,07";"-4,77";"-4,48";"-4,15"
2020-02-26;NA;"0,69";"0,62";"0,96";"0,82";"0,93";NA;"-5,38";"-4,88";"-4,34";"-4,17";"-3,73"
2020-02-27;NA;"0,67";"0,62";"0,97";"0,82";"0,97";NA;"-5,43";"-4,92";"-4,46";"-4,29";"-3,91"
2020-02-28;NA;"0,67";"0,62";"0,97";"0,81";"0,97";NA;"-5,43";"-4,91";"-4,55";"-4,37";"-3,91"
2020-03-02;NA;"0,75";"0,73";"1,01";"0,85";"1";NA;"-5,49";"-4,96";"-4,68";"-4,49";"-4,08"
2020-03-03;NA;"0,74";"0,71";"1,01";"0,85";"1";NA;"-5,46";"-4,93";"-4,68";"-4,49";"-4,08"
2020-03-04;NA;"0,82";"0,74";"0,98";"0,82";"0,94";NA;"-5,55";"-5";"-4,72";"-4,53";"-4,09"
2020-03-05;NA;"0,8";"0,74";"0,98";"0,81";"0,91";NA;"-5,55";"-4,96";"-4,64";"-4,5";"-4,09"
2020-03-06;NA;"0,8";"0,73";"0,94";"0,81";"0,91";NA;"-5,55";"-4,97";"-4,66";"-4,5";"-4,09"
2020-03-09;NA;"0,78";"0,73";"0,93";"0,81";"0,88";NA;"-5,57";"-5,01";"-4,72";"-4,57";"-4,15"
2020-03-10;NA;"0,78";"0,73";"0,93";"0,81";"0,88";NA;"-5,57";"-5,01";"-4,72";"-4,57";"-4,15"
2020-03-11;NA;"0,78";"0,73";"0,93";"0,81";"0,88";NA;"-5,57";"-5,01";"-4,72";"-4,57";"-4,15"
2020-03-12;NA;"0,78";"0,73";"0,93";"0,81";"0,88";NA;"-5,57";"-5,01";"-4,72";"-4,57";"-4,15"
2020-03-13;NA;"0,73";"0,72";"0,91";"0,8";"0,89";NA;"-5,58";"-5,03";"-4,68";"-4,55";"-4,16"
2020-03-16;NA;"0,75";"0,74";"0,91";"0,8";"0,89";NA;"-5,6";"-5,02";"-4,68";"-4,55";"-4,16"
2020-03-17;NA;"0,75";"0,74";"0,9";"0,79";"0,87";NA;"-5,6";"-5,03";"-4,69";"-4,56";"-4,17"
2020-03-18;NA;"0,75";"0,74";"0,9";"0,79";"0,87";NA;"-5,6";"-5,03";"-4,69";"-4,56";"-4,17"
2020-03-19;NA;"0,76";"0,75";"0,93";"0,82";"0,87";NA;"-5,63";"-5,04";"-4,7";"-4,56";"-4,17"
2020-03-20;NA;"0,8";"0,73";"0,93";"0,82";"0,87";NA;"-5,71";"-5,04";"-4,7";"-4,56";"-4,17"
2020-03-23;NA;"0,8";"0,73";"0,93";"0,82";"0,87";NA;"-5,71";"-5,04";"-4,7";"-4,56";"-4,17"
2020-03-24;NA;"0,84";"0,73";"0,93";"0,82";"0,87";NA;"-5,79";"-5,04";"-4,7";"-4,56";"-4,17"
2020-03-25;NA;"0,86";"0,75";"0,93";"0,82";"0,87";NA;"-5,84";"-5,06";"-4,7";"-4,56";"-4,17"
2020-03-26;NA;"0,95";"0,75";"0,93";"0,82";"0,87";NA;"-5,99";"-5,06";"-4,7";"-4,56";"-4,17"
2020-03-27;NA;"0,95";"0,71";"0,89";"0,76";"0,84";NA;"-6,1";"-5,1";"-4,75";"-4,61";"-4,19"
2020-03-30;NA;"1,35";"0,71";"0,9";"0,78";"0,84";NA;"-6,56";"-5,17";"-4,68";"-4,57";"-4,19"
2020-03-31;NA;"1,35";"0,71";"0,9";"0,78";"0,84";NA;"-6,56";"-5,17";"-4,68";"-4,57";"-4,19"
2020-04-01;NA;"1,35";"0,71";"0,9";"0,78";"0,84";NA;"-6,56";"-5,17";"-4,68";"-4,57";"-4,19"
2020-04-02;NA;"1,39";"0,66";"0,84";"0,74";"0,81";NA;"-6,55";"-5,09";"-4,56";"-4,46";"-4,08"
2020-04-03;NA;"2,12";"0,64";"0,88";"0,8";"0,8";NA;"-7,18";"-5,11";"-4,53";"-4,41";"-4,1"
2020-04-06;NA;"2,32";"0,74";"0,89";"0,82";"0,84";NA;"-7,51";"-5,11";"-4,46";"-4,35";"-4,09"
2020-04-07;NA;"2,33";"0,74";"0,83";"0,65";"0,61";NA;"-7,77";"-5,11";"-4,55";"-4,53";"-4,26"
2020-04-08;NA;"2,53";"0,75";"0,85";"0,65";"0,61";NA;"-8,06";"-5,11";"-4,54";"-4,53";"-4,26"
2020-04-09;NA;"2,49";"0,94";"0,92";"0,68";"0,64";NA;"-8,85";"-5,19";"-4,59";"-4,55";"-4,3"
2020-04-13;NA;"2,04";"1,01";"0,87";"0,84";"0,84";NA;"-9,17";"-5,11";"-4,61";"-4,66";"-4,45"
2020-04-14;NA;"2,25";"1,09";"0,83";"0,8";"0,79";NA;"-9,25";"-5,06";"-4,61";"-4,7";"-4,44"
2020-04-15;NA;"2,33";"1,08";"0,87";"0,86";"0,76";NA;"-9,47";"-5,11";"-4,72";"-4,83";"-4,47"
2020-04-16;NA;"2,33";"1,08";"0,87";"0,86";"0,87";NA;"-9,47";"-5,11";"-4,72";"-4,83";"-4,59"
2020-04-17;NA;"2,48";"1,11";"0,85";"0,7";"0,81";NA;"-9,69";"-5,22";"-4,77";"-4,92";"-4,65"
2020-04-20;NA;"2,36";"1,15";"0,84";"0,69";"0,79";NA;"-9,97";"-5,3";"-4,79";"-4,95";"-4,68"
2020-04-22;NA;"2,36";"1,15";"0,84";"0,69";"0,79";NA;"-9,97";"-5,3";"-4,79";"-4,95";"-4,68"
2020-04-23;NA;"2,13";"1,14";"0,86";"0,56";"0,63";NA;"-10,31";"-5,38";"-4,93";"-5,05";"-4,78"
