"Data";"Desvio Padrão 2019";"Desvio Padrão 2020";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Media 2019";"Media 2020";"Media 2021";"Media 2022";"Media 2023"
2019-06-24;"0,05";"0,17";"0,21";"0,23";"0,26";"3,81";"3,78";"3,81";"3,86";"3,91"
2019-06-25;"0,05";"0,17";"0,21";"0,23";"0,26";"3,81";"3,78";"3,81";"3,86";"3,91"
2019-06-26;"0,05";"0,17";"0,21";"0,23";"0,26";"3,81";"3,78";"3,81";"3,86";"3,91"
2019-06-27;"0,05";"0,17";"0,21";"0,23";"0,26";"3,81";"3,78";"3,81";"3,86";"3,91"
2019-06-28;"0,05";"0,17";"0,21";"0,23";"0,26";"3,81";"3,78";"3,81";"3,86";"3,91"
2019-07-01;"0,05";"0,17";"0,21";"0,23";"0,26";"3,81";"3,78";"3,81";"3,86";"3,91"
2019-07-02;"0,05";"0,17";"0,21";"0,23";"0,26";"3,81";"3,78";"3,81";"3,86";"3,91"
2019-07-03;"0,05";"0,17";"0,21";"0,23";"0,26";"3,81";"3,78";"3,81";"3,86";"3,91"
2019-07-04;"0,05";"0,17";"0,21";"0,23";"0,26";"3,81";"3,78";"3,81";"3,86";"3,91"
2019-07-05;"0,05";"0,16";"0,2";"0,23";"0,26";"3,81";"3,78";"3,81";"3,86";"3,91"
2019-07-08;"0,05";"0,16";"0,21";"0,23";"0,26";"3,81";"3,78";"3,81";"3,86";"3,9"
2019-07-09;"0,05";"0,16";"0,21";"0,23";"0,26";"3,81";"3,78";"3,81";"3,86";"3,9"
2019-07-10;"0,05";"0,16";"0,21";"0,23";"0,26";"3,81";"3,78";"3,81";"3,86";"3,9"
2019-07-11;"0,05";"0,16";"0,21";"0,23";"0,26";"3,81";"3,78";"3,81";"3,86";"3,9"
2019-07-12;"0,05";"0,16";"0,2";"0,23";"0,26";"3,8";"3,78";"3,81";"3,85";"3,9"
2019-07-15;"0,04";"0,16";"0,21";"0,23";"0,27";"3,8";"3,78";"3,81";"3,85";"3,9"
2019-07-16;"0,04";"0,16";"0,21";"0,23";"0,26";"3,8";"3,77";"3,8";"3,85";"3,9"
2019-07-17;"0,04";"0,15";"0,21";"0,23";"0,26";"3,8";"3,78";"3,8";"3,85";"3,9"
2019-07-18;"0,04";"0,15";"0,2";"0,23";"0,26";"3,8";"3,77";"3,8";"3,84";"3,89"
2019-07-19;"0,04";"0,15";"0,2";"0,22";"0,25";"3,79";"3,77";"3,8";"3,85";"3,9"
2019-07-22;"0,04";"0,15";"0,2";"0,22";"0,25";"3,79";"3,77";"3,8";"3,85";"3,89"
2019-07-23;"0,04";"0,15";"0,2";"0,22";"0,25";"3,79";"3,77";"3,8";"3,85";"3,89"
2019-07-24;"0,04";"0,15";"0,2";"0,22";"0,25";"3,79";"3,77";"3,8";"3,85";"3,89"
2019-07-25;"0,04";"0,15";"0,2";"0,22";"0,25";"3,79";"3,77";"3,8";"3,85";"3,89"
2019-07-26;"0,04";"0,15";"0,2";"0,22";"0,25";"3,79";"3,77";"3,8";"3,84";"3,89"
2019-07-29;"0,04";"0,15";"0,2";"0,23";"0,25";"3,79";"3,77";"3,8";"3,85";"3,89"
2019-07-30;"0,04";"0,15";"0,2";"0,22";"0,25";"3,79";"3,77";"3,8";"3,85";"3,9"
2019-07-31;"0,03";"0,15";"0,2";"0,22";"0,25";"3,79";"3,77";"3,8";"3,85";"3,9"
2019-08-01;"0,03";"0,14";"0,2";"0,22";"0,25";"3,78";"3,76";"3,8";"3,85";"3,9"
2019-08-02;"0,03";"0,14";"0,2";"0,22";"0,25";"3,79";"3,76";"3,81";"3,85";"3,9"
2019-08-05;"0,03";"0,14";"0,2";"0,23";"0,25";"3,79";"3,76";"3,81";"3,85";"3,9"
2019-08-06;"0,03";"0,14";"0,2";"0,22";"0,25";"3,79";"3,76";"3,81";"3,85";"3,9"
2019-08-07;"0,03";"0,14";"0,19";"0,22";"0,25";"3,79";"3,76";"3,81";"3,85";"3,9"
2019-08-08;"0,04";"0,14";"0,19";"0,22";"0,25";"3,79";"3,76";"3,81";"3,85";"3,9"
