"Data";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Desvio Padrão 2025";"Desvio Padrão 2026";"Desvio Padrão 2027";"Desvio Padrão 2028";"Desvio Padrão 2029";"Desvio Padrão 2030";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025";"Media 2026";"Media 2027";"Media 2028";"Media 2029";"Media 2030"
2021-04-27;"1,82";"2,39";"2,7";"3,32";"3,37";"3,9";"4,76";"5,5";"6,12";"6,65";"64,57";"67,18";"69,51";"70,94";"72,78";"74,63";"75,53";"76,21";"76,43";"76,51"
2021-04-28;"1,82";"2,39";"2,7";"3,32";"3,37";"3,9";"4,76";"5,5";"6,12";"6,65";"64,57";"67,18";"69,51";"70,94";"72,78";"74,63";"75,53";"76,21";"76,43";"76,51"
2021-04-29;"1,82";"2,39";"2,7";"3,32";"3,37";"3,9";"4,76";"5,5";"6,12";"6,65";"64,57";"67,18";"69,51";"70,94";"72,78";"74,63";"75,53";"76,21";"76,43";"76,51"
2021-04-30;"1,82";"2,39";"2,7";"3,32";"3,37";"3,9";"4,76";"5,5";"6,12";"6,65";"64,6";"67,18";"69,51";"70,94";"72,78";"74,63";"75,53";"76,21";"76,43";"76,51"
2021-05-03;"1,82";"2,39";"2,7";"3,32";"3,37";"3,9";"4,76";"5,5";"6,12";"6,65";"64,6";"67,18";"69,51";"70,94";"72,78";"74,63";"75,53";"76,21";"76,43";"76,51"
2021-05-04;"1,82";"2,39";"2,7";"3,32";"3,37";"3,9";"4,76";"5,5";"6,12";"6,65";"64,6";"67,18";"69,51";"70,94";"72,78";"74,63";"75,53";"76,21";"76,43";"76,51"
2021-05-05;"1,86";"2,46";"2,7";"3,32";"3,37";"3,9";"4,76";"5,5";"6,12";"6,65";"64,63";"67,24";"69,51";"70,94";"72,78";"74,63";"75,53";"76,21";"76,43";"76,51"
2021-05-06;"2,03";"2,42";"2,61";"3,17";"3,25";"3,92";"4,99";"6,11";"7,21";"8,24";"64,4";"67,12";"69,43";"70,86";"72,59";"74,14";"74,76";"75,07";"74,9";"74,62"
2021-05-07;"2,04";"2,43";"2,59";"3,14";"3,21";"3,88";"4,94";"6,07";"7,17";"8,19";"64,37";"67,1";"69,39";"70,82";"72,54";"74,08";"74,69";"75";"74,84";"74,56"
2021-05-10;"2,03";"2,43";"2,59";"3,14";"3,75";"4,58";"4,94";"6,07";"7,17";"8,19";"64,31";"67,1";"69,39";"70,82";"71,85";"73,17";"74,69";"75";"74,84";"74,56"
