"Data";"Desvio Padrão 2020";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2020-07-01;"1,24";"0,93";"0,67";"0,44";"0,45";"-6,55";"3,47";"2,55";"2,43";"2,39"
2020-07-02;"1,24";"0,93";"0,67";"0,44";"0,45";"-6,55";"3,47";"2,55";"2,43";"2,39"
2020-07-03;"1,27";"0,93";"0,67";"0,44";"0,45";"-6,51";"3,5";"2,53";"2,44";"2,39"
2020-07-06;"1,16";"0,93";"0,57";"0,45";"0,5";"-6,39";"3,51";"2,51";"2,42";"2,37"
2020-07-07;"1,13";"0,92";"0,57";"0,45";"0,5";"-6,34";"3,52";"2,52";"2,44";"2,4"
2020-07-08;"1,13";"0,91";"0,57";"0,45";"0,5";"-6,33";"3,52";"2,51";"2,43";"2,39"
2020-07-09;"1,14";"0,92";"0,56";"0,45";"0,5";"-6,32";"3,51";"2,5";"2,43";"2,39"
2020-07-10;"1,13";"0,91";"0,57";"0,46";"0,52";"-6,26";"3,49";"2,5";"2,42";"2,38"
2020-07-13;"1,11";"0,89";"0,57";"0,44";"0,5";"-6,2";"3,37";"2,46";"2,38";"2,35"
2020-07-14;"1,1";"0,89";"0,56";"0,44";"0,5";"-6,18";"3,36";"2,47";"2,38";"2,35"
2020-07-15;"1,09";"0,88";"0,56";"0,44";"0,5";"-6,17";"3,34";"2,46";"2,38";"2,35"
2020-07-16;"1,08";"0,88";"0,56";"0,44";"0,5";"-6,14";"3,34";"2,46";"2,38";"2,35"
2020-07-17;"1,1";"0,89";"0,58";"0,46";"0,52";"-6,09";"3,36";"2,5";"2,4";"2,37"
2020-07-20;"1,12";"0,89";"0,58";"0,42";"0,48";"-6,09";"3,36";"2,51";"2,43";"2,4"
2020-07-21;"1,13";"0,88";"0,58";"0,42";"0,48";"-6,08";"3,34";"2,51";"2,43";"2,4"
2020-07-22;"1,13";"0,88";"0,58";"0,42";"0,48";"-6,08";"3,34";"2,51";"2,43";"2,4"
2020-07-23;"1,11";"0,88";"0,57";"0,42";"0,48";"-6,08";"3,35";"2,52";"2,43";"2,41"
2020-07-24;"1,02";"0,86";"0,56";"0,42";"0,49";"-5,96";"3,38";"2,53";"2,45";"2,43"
2020-07-27;"1,03";"0,84";"0,57";"0,43";"0,5";"-5,95";"3,37";"2,53";"2,45";"2,42"
2020-07-28;"1,02";"0,84";"0,57";"0,43";"0,5";"-5,95";"3,37";"2,53";"2,45";"2,42"
2020-07-29;"1,03";"0,84";"0,57";"0,43";"0,5";"-5,94";"3,37";"2,53";"2,45";"2,42"
2020-07-30;"1,03";"0,84";"0,57";"0,43";"0,5";"-5,94";"3,37";"2,53";"2,45";"2,42"
2020-07-31;"0,99";"0,85";"0,56";"0,43";"0,49";"-5,85";"3,39";"2,52";"2,45";"2,44"
2020-08-03;"0,97";"0,86";"0,57";"0,43";"0,49";"-5,85";"3,39";"2,51";"2,44";"2,42"
2020-08-04;"0,97";"0,86";"0,57";"0,43";"0,49";"-5,84";"3,4";"2,51";"2,44";"2,42"
2020-08-05;"0,98";"0,86";"0,57";"0,43";"0,49";"-5,83";"3,4";"2,51";"2,44";"2,42"
2020-08-06;"0,98";"0,85";"0,57";"0,43";"0,5";"-5,8";"3,4";"2,52";"2,44";"2,42"
2020-08-07;"0,98";"0,83";"0,56";"0,43";"0,49";"-5,79";"3,39";"2,5";"2,45";"2,43"
2020-08-10;"0,99";"0,84";"0,57";"0,44";"0,49";"-5,78";"3,4";"2,5";"2,45";"2,44"
2020-08-11;"0,98";"0,83";"0,56";"0,43";"0,49";"-5,76";"3,4";"2,5";"2,45";"2,44"
2020-08-12;"0,98";"0,83";"0,55";"0,42";"0,49";"-5,75";"3,38";"2,5";"2,45";"2,43"
2020-08-13;"0,98";"0,79";"0,49";"0,41";"0,49";"-5,75";"3,43";"2,54";"2,47";"2,44"
2020-08-14;"0,96";"0,83";"0,56";"0,43";"0,49";"-5,65";"3,41";"2,5";"2,45";"2,43"
2020-08-17;"0,97";"0,83";"0,56";"0,43";"0,49";"-5,62";"3,38";"2,49";"2,44";"2,43"
2020-08-18;"0,98";"0,82";"0,56";"0,43";"0,49";"-5,6";"3,37";"2,5";"2,44";"2,42"
2020-08-19;"0,98";"0,82";"0,56";"0,43";"0,49";"-5,6";"3,37";"2,5";"2,44";"2,42"
2020-08-20;"0,97";"0,83";"0,55";"0,43";"0,48";"-5,58";"3,36";"2,51";"2,43";"2,4"
2020-08-21;"0,97";"0,82";"0,55";"0,42";"0,47";"-5,56";"3,36";"2,49";"2,41";"2,39"
2020-08-24;"0,97";"0,82";"0,56";"0,43";"0,47";"-5,52";"3,38";"2,47";"2,4";"2,38"
2020-08-25;"0,97";"0,82";"0,56";"0,43";"0,47";"-5,52";"3,38";"2,47";"2,4";"2,38"
2020-08-26;"0,96";"0,82";"0,56";"0,43";"0,47";"-5,48";"3,38";"2,47";"2,4";"2,38"
