"Data";"Desvio Padrão 2020";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2020-01-31;"1,59";"2,41";"3,12";"3,82";"4,77";"57,17";"58,43";"59,28";"59,63";"59,47"
2020-02-03;"1,61";"2,43";"3,12";"3,82";"4,77";"57,15";"58,4";"59,28";"59,63";"59,47"
2020-02-04;"1,61";"2,43";"3,12";"3,82";"4,77";"57,15";"58,4";"59,28";"59,63";"59,47"
2020-02-05;"1,58";"2,42";"3,12";"3,81";"4,73";"57,09";"58,36";"59,27";"59,7";"59,62"
2020-02-06;"1,58";"2,42";"3,12";"3,81";"4,73";"57,09";"58,36";"59,27";"59,7";"59,62"
2020-02-07;"1,58";"2,42";"3,12";"3,81";"4,73";"57,09";"58,36";"59,27";"59,7";"59,62"
2020-02-10;"1,58";"2,42";"3,12";"3,81";"4,73";"57,09";"58,36";"59,27";"59,7";"59,62"
2020-02-11;"1,61";"2,46";"3,14";"3,84";"4,74";"57,02";"58,29";"59,2";"59,62";"59,49"
2020-02-12;"1,61";"2,46";"3,14";"3,84";"4,74";"57,02";"58,29";"59,2";"59,62";"59,49"
2020-02-13;"1,63";"2,5";"3,22";"3,95";"4,89";"57,07";"58,36";"59,31";"59,73";"59,63"
2020-02-14;"1,63";"2,5";"3,22";"3,95";"4,89";"57,07";"58,36";"59,31";"59,73";"59,63"
2020-02-17;"1,41";"2,26";"3,02";"3,88";"4,99";"56,94";"58,05";"58,84";"59,38";"59,44"
2020-02-18;"1,18";"2,1";"2,73";"3,41";"4,17";"57,08";"58,17";"59,07";"59,73";"60"
2020-02-19;"1,18";"2,1";"2,73";"3,41";"4,17";"57,08";"58,17";"59,07";"59,73";"60"
2020-02-20;"1,18";"2,1";"2,73";"3,41";"4,17";"57,08";"58,17";"59,07";"59,73";"60"
2020-02-21;"1,17";"2,1";"2,73";"3,41";"4,17";"57,03";"58,15";"59,07";"59,73";"60"
2020-02-26;"1,07";"2,05";"2,51";"3,16";"3,69";"56,9";"58";"58,57";"58,94";"59"
2020-02-27;"1,92";"2,99";"3,56";"3,96";"4,62";"57,38";"58,81";"59,71";"60,09";"60,27"
2020-02-28;"1,84";"2,89";"3,43";"3,81";"4,62";"57,38";"58,69";"59,73";"60,16";"60,27"
2020-03-02;"1,92";"2,99";"3,42";"3,75";"4,47";"57,36";"58,67";"59,5";"59,94";"60,07"
2020-03-03;"1,9";"2,95";"3,42";"3,75";"4,47";"57,29";"58,56";"59,5";"59,94";"60,07"
2020-03-04;"2,08";"3,09";"3,66";"4,08";"4,87";"57,43";"58,93";"60,07";"60,48";"60,76"
2020-03-05;"2,15";"3,21";"3,83";"4,25";"5,06";"57,32";"58,75";"59,78";"60,15";"60,41"
2020-03-06;"2,15";"3,2";"3,82";"4,25";"5,06";"57,34";"58,77";"59,81";"60,15";"60,41"
2020-03-09;"2,11";"3,14";"3,71";"4,13";"4,89";"57,26";"58,72";"59,78";"60,16";"60,39"
2020-03-10;"2,11";"3,14";"3,71";"4,13";"4,89";"57,26";"58,72";"59,78";"60,16";"60,39"
2020-03-11;"2,11";"3,14";"3,71";"4,13";"4,89";"57,26";"58,72";"59,78";"60,16";"60,39"
2020-03-12;"2,11";"3,15";"3,74";"4,15";"4,91";"57,25";"58,71";"59,75";"60,14";"60,36"
2020-03-13;"2,05";"3,1";"3,8";"4,22";"5,01";"57,16";"58,62";"59,68";"60,13";"60,44"
2020-03-16;"2,1";"3,17";"3,8";"4,22";"5,01";"57,14";"58,64";"59,68";"60,13";"60,44"
