"Data";"DataReferencia";"Media";"DesvioPadrao"
2019-05-31;2019;"3,8";"0,16"
2019-05-31;2020;"3,81";"0,21"
2019-05-31;2021;"3,85";"0,24"
2019-05-31;2022;"3,9";"0,27"
2019-05-31;2023;"3,95";"0,3"
2019-06-03;2019;"3,8";"0,16"
2019-06-03;2020;"3,82";"0,21"
2019-06-03;2021;"3,86";"0,24"
2019-06-03;2022;"3,91";"0,26"
2019-06-03;2023;"3,96";"0,3"
2019-06-04;2019;"3,8";"0,16"
2019-06-04;2020;"3,81";"0,21"
2019-06-04;2021;"3,85";"0,24"
2019-06-04;2022;"3,91";"0,26"
2019-06-04;2023;"3,96";"0,3"
2019-06-05;2019;"3,8";"0,16"
2019-06-05;2020;"3,81";"0,21"
2019-06-05;2021;"3,85";"0,24"
2019-06-05;2022;"3,9";"0,27"
2019-06-05;2023;"3,96";"0,3"
2019-06-06;2019;"3,8";"0,16"
2019-06-06;2020;"3,81";"0,21"
2019-06-06;2021;"3,85";"0,24"
2019-06-06;2022;"3,9";"0,27"
2019-06-06;2023;"3,96";"0,3"
2019-06-07;2019;"3,79";"0,15"
2019-06-07;2020;"3,81";"0,21"
2019-06-07;2021;"3,85";"0,24"
2019-06-07;2022;"3,9";"0,26"
2019-06-07;2023;"3,95";"0,3"
2019-06-10;2019;"3,79";"0,14"
2019-06-10;2020;"3,81";"0,21"
2019-06-10;2021;"3,85";"0,24"
2019-06-10;2022;"3,9";"0,26"
2019-06-10;2023;"3,94";"0,3"
2019-06-11;2019;"3,79";"0,14"
2019-06-11;2020;"3,81";"0,21"
2019-06-11;2021;"3,85";"0,24"
2019-06-11;2022;"3,9";"0,26"
2019-06-11;2023;"3,94";"0,3"
2019-06-12;2019;"3,78";"0,15"
2019-06-12;2020;"3,81";"0,2"
2019-06-12;2021;"3,85";"0,23"
2019-06-12;2022;"3,9";"0,26"
2019-06-12;2023;"3,95";"0,3"
2019-06-13;2019;"3,78";"0,14"
2019-06-13;2020;"3,81";"0,2"
2019-06-13;2021;"3,85";"0,24"
2019-06-13;2022;"3,9";"0,26"
2019-06-13;2023;"3,95";"0,3"
2019-06-14;2019;"3,77";"0,14"
2019-06-14;2020;"3,81";"0,2"
2019-06-14;2021;"3,83";"0,23"
2019-06-14;2022;"3,89";"0,26"
2019-06-14;2023;"3,93";"0,29"
2019-06-17;2019;"3,76";"0,14"
2019-06-17;2020;"3,81";"0,2"
2019-06-17;2021;"3,84";"0,23"
2019-06-17;2022;"3,89";"0,25"
2019-06-17;2023;"3,94";"0,28"
2019-06-18;2019;"3,77";"0,14"
2019-06-18;2020;"3,81";"0,2"
2019-06-18;2021;"3,84";"0,22"
2019-06-18;2022;"3,88";"0,25"
2019-06-18;2023;"3,94";"0,28"
2019-06-19;2019;"3,77";"0,14"
2019-06-19;2020;"3,81";"0,2"
2019-06-19;2021;"3,84";"0,22"
2019-06-19;2022;"3,88";"0,25"
2019-06-19;2023;"3,93";"0,29"
2019-06-21;2019;"3,77";"0,13"
2019-06-21;2020;"3,81";"0,2"
2019-06-21;2021;"3,83";"0,22"
2019-06-21;2022;"3,87";"0,25"
2019-06-21;2023;"3,93";"0,29"
2019-06-24;2019;"3,77";"0,13"
2019-06-24;2020;"3,8";"0,19"
2019-06-24;2021;"3,83";"0,22"
2019-06-24;2022;"3,88";"0,25"
2019-06-24;2023;"3,93";"0,29"
