"Data";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Desvio Padrão 2025";"Desvio Padrão 2026";"Desvio Padrão 2027";"Desvio Padrão 2028";"Desvio Padrão 2029";"Desvio Padrão 2030";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025";"Media 2026";"Media 2027";"Media 2028";"Media 2029";"Media 2030"
2021-04-27;"2,48";"2,59";"2,82";"2,35";"2,77";"3,19";"4,07";"5,17";"6,24";"7,32";"88,77";"90,36";"92,23";"92,39";"93,19";"94,28";"94,49";"94,37";"93,87";"93,16"
2021-04-28;"2,48";"2,59";"2,82";"2,35";"2,77";"3,19";"4,07";"5,17";"6,24";"7,32";"88,77";"90,36";"92,23";"92,39";"93,19";"94,28";"94,49";"94,37";"93,87";"93,16"
2021-04-29;"2,48";"2,59";"2,82";"2,35";"2,77";"3,19";"4,07";"5,17";"6,24";"7,32";"88,77";"90,36";"92,23";"92,39";"93,19";"94,28";"94,49";"94,37";"93,87";"93,16"
2021-04-30;"2,49";"2,59";"2,82";"2,35";"2,77";"3,19";"4,07";"5,17";"6,24";"7,32";"88,78";"90,36";"92,23";"92,39";"93,19";"94,28";"94,49";"94,37";"93,87";"93,16"
2021-05-03;"2,56";"2,67";"2,92";"2,44";"2,89";"3,36";"4,29";"5,45";"6,58";"7,71";"88,8";"90,32";"92,24";"92,34";"93,16";"94,31";"94,54";"94,41";"93,86";"93,07"
2021-05-04;"2,56";"2,67";"2,92";"2,44";"2,89";"3,36";"4,29";"5,45";"6,58";"7,71";"88,8";"90,32";"92,24";"92,34";"93,16";"94,31";"94,54";"94,41";"93,86";"93,07"
2021-05-05;"2,54";"2,65";"2,92";"2,44";"2,89";"3,36";"4,29";"5,45";"6,58";"7,71";"88,83";"90,37";"92,24";"92,34";"93,16";"94,31";"94,54";"94,41";"93,86";"93,07"
2021-05-06;"2,54";"2,65";"2,92";"2,44";"2,89";"3,36";"4,29";"5,45";"6,58";"7,71";"88,83";"90,37";"92,24";"92,34";"93,16";"94,31";"94,54";"94,41";"93,86";"93,07"
2021-05-07;"2,54";"2,66";"2,96";"2,48";"2,91";"3,38";"4,3";"5,45";"6,57";"7,69";"88,79";"90,33";"92,19";"92,27";"93,1";"94,24";"94,47";"94,33";"93,78";"92,99"
2021-05-10;"2,55";"2,6";"2,96";"2,45";"2,92";"3,45";"4,3";"5,45";"6,57";"7,69";"88,38";"89,89";"91,76";"92,08";"92,84";"93,82";"94,47";"94,33";"93,78";"92,99"
