"Data";"Desvio Padrão 2020";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2020-08-17;"2,44";"1,49";"0,92";"0,58";"0,47";"-11,23";"-3,1";"-2,08";"-1,23";"-0,61"
2020-08-18;"2,48";"1,49";"0,88";"0,57";"0,5";"-11,29";"-3,05";"-2";"-1,18";"-0,56"
2020-08-19;"2,48";"1,49";"0,88";"0,57";"0,5";"-11,29";"-3,05";"-2";"-1,18";"-0,56"
2020-08-20;"2,48";"1,44";"0,88";"0,57";"0,5";"-11,29";"-3,01";"-2";"-1,18";"-0,56"
2020-08-21;"2,48";"1,44";"0,88";"0,57";"0,5";"-11,29";"-3,01";"-2";"-1,18";"-0,56"
2020-08-24;"2,63";"1,53";"0,87";"0,59";"0,52";"-11,23";"-2,97";"-1,92";"-1,19";"-0,56"
2020-08-25;"2,63";"1,53";"0,87";"0,59";"0,52";"-11,23";"-2,97";"-1,92";"-1,19";"-0,56"
2020-08-26;"2,63";"1,53";"0,87";"0,59";"0,52";"-11,23";"-2,97";"-1,92";"-1,19";"-0,56"
2020-08-27;"2,63";"1,53";"0,87";"0,59";"0,52";"-11,23";"-2,97";"-1,92";"-1,19";"-0,56"
2020-08-28;"2,57";"1,5";"0,84";"0,57";"0,5";"-11,25";"-2,99";"-1,93";"-1,18";"-0,56"
2020-08-31;"2,57";"1,54";"0,87";"0,58";"0,5";"-11,28";"-3,01";"-1,92";"-1,16";"-0,52"
2020-09-01;"3,3";"1,6";"1,01";"0,77";"0,5";"-10,8";"-2,88";"-1,78";"-1,03";"-0,52"
2020-09-02;"3,3";"1,6";"1,01";"0,77";"0,5";"-10,8";"-2,88";"-1,78";"-1,03";"-0,52"
2020-09-03;"3,3";"1,6";"1,01";"0,77";"0,5";"-10,8";"-2,88";"-1,78";"-1,03";"-0,52"
2020-09-04;"2,49";"1,5";"0,91";"0,7";"0,47";"-11,35";"-2,99";"-1,92";"-1,13";"-0,58"
2020-09-08;"2,73";"1,57";"0,94";"0,72";"0,48";"-11,43";"-3,02";"-1,95";"-1,15";"-0,61"
2020-09-09;"2,66";"1,53";"0,91";"0,7";"0,47";"-11,48";"-3";"-1,95";"-1,17";"-0,64"
2020-09-10;"2,61";"1,5";"0,93";"0,7";"0,47";"-11,55";"-3,04";"-2,03";"-1,17";"-0,64"
2020-09-11;"2,48";"1,44";"0,91";"0,69";"0,47";"-11,55";"-3,08";"-2,05";"-1,19";"-0,64"
2020-09-14;"2,5";"1,47";"0,94";"0,71";"0,47";"-11,65";"-3,11";"-2,05";"-1,17";"-0,61"
2020-09-15;"2,5";"1,47";"0,94";"0,71";"0,47";"-11,65";"-3,11";"-2,05";"-1,17";"-0,61"
2020-09-16;"2,5";"1,47";"0,94";"0,71";"0,47";"-11,65";"-3,11";"-2,05";"-1,17";"-0,61"
2020-09-17;"2,49";"1,45";"0,92";"0,7";"0,36";"-11,67";"-3,13";"-2,08";"-1,22";"-0,73"
2020-09-18;"2,43";"1,42";"0,93";"0,7";"0,36";"-11,66";"-3,13";"-2,03";"-1,22";"-0,73"
2020-09-21;"2,43";"1,42";"0,93";"0,7";"0,36";"-11,66";"-3,13";"-2,03";"-1,22";"-0,73"
2020-09-22;"2,43";"1,42";"0,93";"0,7";"0,36";"-11,66";"-3,13";"-2,03";"-1,22";"-0,73"
2020-09-23;"2,39";"1,4";"0,9";"0,7";"0,36";"-11,63";"-3,11";"-1,99";"-1,22";"-0,73"
2020-09-24;"2,39";"1,4";"0,9";"0,7";"0,36";"-11,63";"-3,11";"-1,99";"-1,22";"-0,73"
2020-09-25;"2,36";"1,37";"0,88";"0,68";"0,35";"-11,69";"-3,11";"-1,98";"-1,21";"-0,71"
2020-09-28;"2,47";"1,43";"0,92";"0,71";"0,35";"-11,69";"-3,1";"-1,96";"-1,18";"-0,7"
2020-09-29;"2,47";"1,43";"0,92";"0,71";"0,35";"-11,69";"-3,1";"-1,96";"-1,18";"-0,7"
2020-09-30;"2,47";"1,43";"0,92";"0,71";"0,35";"-11,69";"-3,1";"-1,96";"-1,18";"-0,7"
2020-10-01;"2,52";"1,43";"0,92";"0,71";"0,35";"-11,67";"-3,1";"-1,96";"-1,18";"-0,7"
2020-10-02;"0,75";"1,28";"0,72";"0,47";"0,42";"-12,23";"-3,28";"-2,1";"-1,36";"-0,76"
2020-10-05;"0,75";"1,28";"0,72";"0,47";"0,42";"-12,23";"-3,28";"-2,1";"-1,36";"-0,76"
2020-10-06;"0,75";"1,28";"0,72";"0,47";"0,42";"-12,23";"-3,28";"-2,1";"-1,36";"-0,76"
2020-10-07;"0,68";"1,25";"0,71";"0,47";"0,42";"-12,1";"-3,27";"-2,12";"-1,38";"-0,78"
2020-10-08;"0,68";"1,25";"0,71";"0,47";"0,42";"-12,1";"-3,27";"-2,12";"-1,38";"-0,78"
2020-10-09;"0,68";"1,24";"0,71";"0,47";"0,4";"-12,09";"-3,3";"-2,13";"-1,38";"-0,79"
2020-10-13;"0,69";"1,29";"0,74";"0,5";"0,43";"-12,11";"-3,28";"-2,12";"-1,37";"-0,77"
2020-10-14;"0,67";"1,27";"0,77";"0,53";"0,46";"-12,12";"-3,32";"-2,08";"-1,3";"-0,7"
2020-10-15;"0,67";"1,27";"0,77";"0,53";"0,46";"-12,12";"-3,32";"-2,08";"-1,3";"-0,7"
2020-10-16;"0,72";"1,31";"0,82";"0,54";"0,47";"-12,1";"-3,41";"-2,19";"-1,38";"-0,75"
2020-10-19;"0,69";"1,36";"0,8";"0,56";"0,48";"-12,19";"-3,48";"-2,29";"-1,37";"-0,73"
2020-10-20;"0,69";"1,36";"0,8";"0,56";"0,48";"-12,19";"-3,48";"-2,29";"-1,37";"-0,73"
2020-10-21;"0,69";"1,36";"0,8";"0,56";"0,48";"-12,19";"-3,48";"-2,29";"-1,37";"-0,73"
2020-10-22;"0,68";"1,36";"0,76";"0,53";"0,44";"-12,18";"-3,49";"-2,34";"-1,4";"-0,77"
2020-10-23;"0,79";"1,31";"0,75";"0,54";"0,51";"-12,01";"-3,45";"-2,31";"-1,42";"-0,81"
2020-10-26;"0,78";"1,28";"0,75";"0,54";"0,51";"-11,98";"-3,44";"-2,31";"-1,42";"-0,81"
