"Data";"Desvio Padrão 2019";"Desvio Padrão 2020";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Media 2019";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2019-12-11;"0,01";"0,13";NA;NA;NA;NA;"3,95";"4,08";NA;NA;NA;NA
2019-12-12;"0,01";"0,13";"0,22";"0,24";"0,27";NA;"3,95";"4,08";"4";"4,03";"4,09";NA
2019-12-13;"0,01";"0,13";"0,21";"0,23";"0,27";NA;"3,95";"4,07";"3,99";"4,03";"4,09";NA
2019-12-16;"0,01";"0,13";"0,21";"0,23";"0,26";NA;"3,95";"4,07";"4";"4,04";"4,11";NA
2019-12-17;"0,01";"0,13";"0,21";"0,23";"0,26";NA;"3,95";"4,07";"4";"4,04";"4,11";NA
2019-12-18;"0,01";"0,13";"0,21";"0,23";"0,26";NA;"3,95";"4,07";"4";"4,04";"4,11";NA
2019-12-19;"0,01";"0,13";"0,21";"0,23";"0,26";NA;"3,95";"4,07";"4";"4,04";"4,11";NA
2019-12-20;"0,01";"0,13";"0,21";"0,23";"0,26";NA;"3,95";"4,07";"3,99";"4,03";"4,1";NA
2019-12-23;"0,01";"0,12";"0,21";"0,23";"0,26";NA;"3,95";"4,06";"4";"4,04";"4,1";NA
2019-12-24;"0,01";"0,12";"0,21";"0,23";"0,26";NA;"3,95";"4,06";"3,99";"4,03";"4,09";NA
2019-12-26;"0,01";"0,12";"0,21";"0,24";"0,26";NA;"3,95";"4,07";"4";"4,04";"4,1";NA
2019-12-27;"0,01";"0,12";"0,21";"0,24";"0,26";NA;"3,95";"4,06";"4";"4,04";"4,09";NA
2019-12-30;"0";"0,12";"0,21";"0,24";"0,26";NA;"3,95";"4,06";"4";"4,04";"4,1";NA
2019-12-31;NA;"0,12";"0,21";"0,24";"0,26";NA;NA;"4,06";"4";"4,04";"4,1";NA
2020-01-02;NA;"0,12";"0,21";"0,24";"0,26";"0,23";NA;"4,06";"4";"4,04";"4,1";"4,33"
2020-01-03;NA;"0,12";"0,21";"0,23";"0,27";"0,3";NA;"4,06";"4";"4,04";"4,09";"4,03"
2020-01-06;NA;"0,12";"0,21";"0,24";"0,27";"0,3";NA;"4,06";"4";"4,03";"4,08";"4,07"
2020-01-07;NA;"0,12";"0,21";"0,23";"0,27";"0,3";NA;"4,06";"4";"4,03";"4,08";"4,07"
2020-01-08;NA;"0,11";"0,21";"0,23";"0,27";"0,3";NA;"4,06";"4";"4,03";"4,08";"4,07"
2020-01-09;NA;"0,11";"0,21";"0,23";"0,27";"0,27";NA;"4,06";"4";"4,03";"4,08";"4,09"
2020-01-10;NA;"0,11";"0,2";"0,23";"0,27";"0,29";NA;"4,06";"4,01";"4,03";"4,08";"4,1"
2020-01-13;NA;"0,11";"0,2";"0,22";"0,27";"0,3";NA;"4,06";"4,01";"4,04";"4,08";"4,11"
2020-01-14;NA;"0,11";"0,19";"0,22";"0,26";"0,28";NA;"4,06";"4,01";"4,04";"4,09";"4,12"
2020-01-15;NA;"0,11";"0,19";"0,22";"0,26";"0,28";NA;"4,06";"4,01";"4,04";"4,09";"4,12"
2020-01-16;NA;"0,11";"0,2";"0,23";"0,26";"0,28";NA;"4,06";"4";"4,04";"4,09";"4,12"
2020-01-17;NA;"0,11";"0,21";"0,23";"0,26";"0,3";NA;"4,06";"4";"4,04";"4,09";"4,16"
2020-01-20;NA;"0,11";"0,2";"0,23";"0,26";"0,3";NA;"4,07";"3,99";"4,03";"4,08";"4,16"
2020-01-21;NA;"0,11";"0,2";"0,23";"0,26";"0,29";NA;"4,07";"3,99";"4,03";"4,09";"4,17"
2020-01-22;NA;"0,11";"0,21";"0,23";"0,26";"0,28";NA;"4,07";"4";"4,03";"4,09";"4,18"
2020-01-23;NA;"0,11";"0,21";"0,23";"0,26";"0,29";NA;"4,07";"4";"4,04";"4,1";"4,2"
2020-01-24;NA;"0,11";"0,21";"0,23";"0,26";"0,29";NA;"4,09";"4,01";"4,05";"4,11";"4,2"
2020-01-27;NA;"0,1";"0,21";"0,23";"0,26";"0,31";NA;"4,09";"4,02";"4,05";"4,11";"4,22"
2020-01-28;NA;"0,1";"0,21";"0,23";"0,26";"0,31";NA;"4,09";"4,02";"4,05";"4,11";"4,22"
2020-01-29;NA;"0,11";"0,21";"0,23";"0,26";"0,3";NA;"4,09";"4,02";"4,05";"4,11";"4,22"
2020-01-30;NA;"0,11";"0,21";"0,23";"0,26";"0,3";NA;"4,09";"4,02";"4,05";"4,11";"4,22"
2020-01-31;NA;"0,1";"0,21";"0,23";"0,26";"0,29";NA;"4,12";"4,02";"4,05";"4,11";"4,22"
2020-02-03;NA;"0,1";"0,21";"0,23";"0,26";"0,29";NA;"4,12";"4,02";"4,05";"4,11";"4,22"
2020-02-04;NA;"0,1";"0,21";"0,22";"0,26";"0,29";NA;"4,12";"4,02";"4,06";"4,11";"4,22"
2020-02-05;NA;"0,1";"0,21";"0,22";"0,26";"0,29";NA;"4,12";"4,02";"4,06";"4,11";"4,22"
2020-02-06;NA;"0,1";"0,21";"0,23";"0,26";"0,29";NA;"4,12";"4,03";"4,06";"4,11";"4,22"
2020-02-07;NA;"0,1";"0,2";"0,23";"0,26";"0,28";NA;"4,14";"4,04";"4,07";"4,12";"4,22"
2020-02-10;NA;"0,11";"0,21";"0,23";"0,25";"0,28";NA;"4,14";"4,05";"4,08";"4,13";"4,23"
2020-02-11;NA;"0,11";"0,21";"0,23";"0,25";"0,28";NA;"4,15";"4,05";"4,08";"4,13";"4,23"
2020-02-12;NA;"0,11";"0,21";"0,23";"0,25";"0,29";NA;"4,15";"4,05";"4,07";"4,13";"4,22"
2020-02-13;NA;"0,11";"0,21";"0,23";"0,25";"0,29";NA;"4,14";"4,05";"4,07";"4,13";"4,22"
2020-02-14;NA;"0,11";"0,21";"0,23";"0,26";"0,29";NA;"4,15";"4,05";"4,07";"4,13";"4,22"
2020-02-17;NA;"0,11";"0,2";"0,22";"0,26";"0,29";NA;"4,16";"4,06";"4,08";"4,12";"4,22"
2020-02-18;NA;"0,11";"0,2";"0,22";"0,26";"0,29";NA;"4,16";"4,06";"4,08";"4,12";"4,22"
2020-02-19;NA;"0,11";"0,2";"0,22";"0,26";"0,29";NA;"4,17";"4,06";"4,08";"4,12";"4,22"
2020-02-20;NA;"0,11";"0,2";"0,22";"0,26";"0,29";NA;"4,17";"4,07";"4,08";"4,13";"4,23"
2020-02-21;NA;"0,12";"0,2";"0,22";"0,26";"0,29";NA;"4,19";"4,07";"4,09";"4,13";"4,24"
2020-02-26;NA;"0,1";"0,18";"0,2";"0,25";"0,29";NA;"4,21";"4,1";"4,11";"4,15";"4,23"
2020-02-27;NA;"0,09";"0,18";"0,2";"0,25";"0,28";NA;"4,21";"4,1";"4,12";"4,15";"4,22"
2020-02-28;NA;"0,1";"0,19";"0,21";"0,26";"0,28";NA;"4,24";"4,1";"4,12";"4,16";"4,24"
2020-03-02;NA;"0,11";"0,21";"0,21";"0,25";"0,27";NA;"4,25";"4,1";"4,12";"4,16";"4,26"
2020-03-03;NA;"0,11";"0,21";"0,21";"0,25";"0,27";NA;"4,26";"4,1";"4,12";"4,16";"4,26"
2020-03-04;NA;"0,11";"0,22";"0,23";"0,25";"0,27";NA;"4,26";"4,11";"4,13";"4,18";"4,27"
2020-03-05;NA;"0,12";"0,22";"0,22";"0,24";"0,27";NA;"4,27";"4,13";"4,14";"4,19";"4,28"
2020-03-06;NA;"0,13";"0,23";"0,24";"0,26";"0,3";NA;"4,29";"4,15";"4,16";"4,21";"4,31"
2020-03-09;NA;"0,13";"0,23";"0,24";"0,26";"0,3";NA;"4,29";"4,16";"4,17";"4,22";"4,32"
2020-03-10;NA;"0,13";"0,23";"0,24";"0,26";"0,29";NA;"4,31";"4,17";"4,18";"4,23";"4,32"
2020-03-11;NA;"0,16";"0,23";"0,24";"0,26";"0,29";NA;"4,33";"4,17";"4,18";"4,23";"4,31"
2020-03-12;NA;"0,18";"0,28";"0,25";"0,27";"0,3";NA;"4,35";"4,2";"4,19";"4,24";"4,32"
2020-03-13;NA;"0,18";"0,3";"0,29";"0,31";"0,33";NA;"4,44";"4,27";"4,24";"4,27";"4,35"
2020-03-16;NA;"0,18";"0,3";"0,29";"0,31";"0,33";NA;"4,45";"4,28";"4,24";"4,28";"4,36"
2020-03-17;NA;"0,18";"0,3";"0,29";"0,31";"0,33";NA;"4,45";"4,28";"4,24";"4,28";"4,36"
2020-03-18;NA;"0,18";"0,3";"0,29";"0,31";"0,33";NA;"4,46";"4,28";"4,24";"4,28";"4,36"
2020-03-19;NA;"0,18";"0,3";"0,29";"0,31";"0,33";NA;"4,47";"4,29";"4,25";"4,29";"4,36"
2020-03-20;NA;"0,22";"0,33";"0,3";"0,32";"0,35";NA;"4,53";"4,31";"4,25";"4,3";"4,36"
2020-03-23;NA;"0,23";"0,33";"0,3";"0,32";"0,35";NA;"4,54";"4,31";"4,26";"4,3";"4,36"
2020-03-24;NA;"0,23";"0,33";"0,3";"0,32";"0,35";NA;"4,55";"4,31";"4,26";"4,3";"4,37"
2020-03-25;NA;"0,23";"0,33";"0,3";"0,32";"0,35";NA;"4,55";"4,31";"4,25";"4,3";"4,37"
2020-03-26;NA;"0,23";"0,33";"0,3";"0,32";"0,35";NA;"4,56";"4,31";"4,25";"4,3";"4,37"
2020-03-27;NA;"0,24";"0,37";"0,34";"0,32";"0,35";NA;"4,58";"4,35";"4,28";"4,3";"4,37"
2020-03-30;NA;"0,22";"0,37";"0,35";"0,35";"0,38";NA;"4,62";"4,38";"4,31";"4,33";"4,4"
2020-03-31;NA;"0,21";"0,37";"0,36";"0,36";"0,39";NA;"4,66";"4,39";"4,31";"4,34";"4,4"
2020-04-01;NA;"0,21";"0,37";"0,36";"0,36";"0,39";NA;"4,66";"4,4";"4,31";"4,34";"4,41"
2020-04-02;NA;"0,21";"0,37";"0,36";"0,36";"0,39";NA;"4,66";"4,4";"4,32";"4,35";"4,41"
2020-04-03;NA;"0,22";"0,38";"0,37";"0,37";"0,4";NA;"4,71";"4,45";"4,35";"4,38";"4,44"
2020-04-06;NA;"0,21";"0,39";"0,38";"0,38";"0,41";NA;"4,73";"4,45";"4,35";"4,38";"4,45"
2020-04-07;NA;"0,22";"0,41";"0,4";"0,4";"0,43";NA;"4,75";"4,47";"4,37";"4,4";"4,47"
2020-04-08;NA;"0,21";"0,41";"0,41";"0,4";"0,43";NA;"4,75";"4,48";"4,38";"4,41";"4,48"
2020-04-09;NA;"0,21";"0,4";"0,4";"0,4";"0,44";NA;"4,77";"4,48";"4,38";"4,4";"4,46"
2020-04-13;NA;"0,2";"0,41";"0,41";"0,41";"0,45";NA;"4,81";"4,5";"4,38";"4,4";"4,46"
2020-04-14;NA;"0,2";"0,41";"0,41";"0,4";"0,44";NA;"4,82";"4,51";"4,38";"4,41";"4,46"
