"Data";"Desvio Padrão 2020";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2020-08-17;"3,15";"1,54";"1,29";"0,99";"0,79";"-14,35";"-6,44";"-5,95";"-5,97";"-5,53"
2020-08-18;"3,16";"1,52";"1,23";"1,04";"0,86";"-14,37";"-6,38";"-5,85";"-5,89";"-5,45"
2020-08-19;"3,16";"1,52";"1,23";"1,04";"0,86";"-14,37";"-6,38";"-5,85";"-5,89";"-5,45"
2020-08-20;"3,16";"1,41";"1,23";"1,04";"0,86";"-14,37";"-6,33";"-5,85";"-5,89";"-5,45"
2020-08-21;"3,16";"1,41";"1,23";"1,04";"0,86";"-14,37";"-6,33";"-5,85";"-5,89";"-5,45"
2020-08-24;"3,29";"1,44";"1,27";"1,08";"0,88";"-14,41";"-6,21";"-5,84";"-5,93";"-5,48"
2020-08-25;"3,29";"1,44";"1,27";"1,08";"0,88";"-14,41";"-6,21";"-5,84";"-5,93";"-5,48"
2020-08-26;"3,29";"1,44";"1,27";"1,08";"0,88";"-14,41";"-6,21";"-5,84";"-5,93";"-5,48"
2020-08-27;"3,29";"1,44";"1,27";"1,08";"0,88";"-14,41";"-6,21";"-5,84";"-5,93";"-5,48"
2020-08-28;"3,2";"1,41";"1,23";"1,04";"0,86";"-14,39";"-6,26";"-5,85";"-5,89";"-5,45"
2020-08-31;"3,24";"1,4";"1,27";"1,08";"0,89";"-14,5";"-6,35";"-5,88";"-5,92";"-5,46"
2020-09-01;"3,68";"1,38";"1,23";"1,07";"0,89";"-14,05";"-6,31";"-5,86";"-5,85";"-5,46"
2020-09-02;"3,68";"1,38";"1,23";"1,07";"0,89";"-14,05";"-6,31";"-5,86";"-5,85";"-5,46"
2020-09-03;"3,68";"1,38";"1,23";"1,07";"0,89";"-14,05";"-6,31";"-5,86";"-5,85";"-5,46"
2020-09-04;"3,08";"1,36";"1,16";"1,08";"0,92";"-14,59";"-6,36";"-5,95";"-5,84";"-5,51"
2020-09-08;"3,38";"1,49";"1,21";"1,13";"0,98";"-14,69";"-6,4";"-6,01";"-5,95";"-5,62"
2020-09-09;"3,3";"1,48";"1,18";"1,08";"0,93";"-14,75";"-6,32";"-5,97";"-5,95";"-5,63"
2020-09-10;"3,3";"1,48";"1,18";"1,08";"0,93";"-14,75";"-6,32";"-5,97";"-5,95";"-5,63"
2020-09-11;"3,1";"1,43";"1,14";"1,07";"0,93";"-14,75";"-6,41";"-5,97";"-5,9";"-5,55"
2020-09-14;"3,13";"1,41";"1,17";"1,05";"0,93";"-14,88";"-6,51";"-5,93";"-5,8";"-5,47"
2020-09-15;"3,13";"1,41";"1,17";"1,05";"0,93";"-14,88";"-6,51";"-5,93";"-5,8";"-5,47"
2020-09-16;"3,13";"1,41";"1,17";"1,05";"0,93";"-14,88";"-6,51";"-5,93";"-5,8";"-5,47"
2020-09-17;"2,67";"1,39";"1,05";"1,1";"0,96";"-15,21";"-6,52";"-6,07";"-5,92";"-5,58"
2020-09-18;"2,63";"1,4";"1,13";"1,1";"0,96";"-15,12";"-6,44";"-5,95";"-5,92";"-5,58"
2020-09-21;"2,63";"1,4";"1,13";"1,1";"0,96";"-15,12";"-6,44";"-5,95";"-5,92";"-5,58"
2020-09-22;"2,63";"1,4";"1,13";"1,1";"0,96";"-15,12";"-6,44";"-5,95";"-5,92";"-5,58"
