"Data";"Desvio Padrão 2020";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Desvio Padrão 2025";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025"
2020-11-19;"0,19";"0,32";"0,47";"0,48";"0,52";NA;"5,4";"5,18";"4,93";"4,85";"4,88";NA
2020-11-20;"0,15";"0,31";"0,46";"0,48";"0,51";NA;"5,38";"5,19";"4,95";"4,89";"4,92";NA
2020-11-23;"0,15";"0,3";"0,47";"0,48";"0,52";NA;"5,37";"5,2";"4,95";"4,89";"4,92";NA
2020-11-24;"0,15";"0,3";"0,47";"0,48";"0,52";NA;"5,37";"5,2";"4,95";"4,89";"4,92";NA
2020-11-25;"0,15";"0,3";"0,46";"0,48";"0,51";NA;"5,37";"5,19";"4,95";"4,89";"4,92";NA
2020-11-26;"0,15";"0,3";"0,46";"0,48";"0,51";NA;"5,37";"5,19";"4,95";"4,89";"4,92";NA
2020-11-27;"0,15";"0,3";"0,46";"0,47";"0,51";NA;"5,37";"5,19";"4,95";"4,89";"4,92";NA
2020-11-30;"0,15";"0,3";"0,46";"0,48";"0,51";NA;"5,37";"5,2";"4,95";"4,89";"4,91";NA
2020-12-01;"0,15";"0,3";"0,45";"0,47";"0,5";NA;"5,37";"5,19";"4,95";"4,89";"4,91";NA
2020-12-02;"0,15";"0,31";"0,45";"0,47";"0,5";NA;"5,35";"5,17";"4,95";"4,89";"4,92";NA
2020-12-03;"0,15";"0,31";"0,45";"0,47";"0,51";NA;"5,35";"5,17";"4,95";"4,89";"4,92";NA
2020-12-04;"0,16";"0,3";"0,43";"0,45";"0,48";NA;"5,27";"5,12";"4,93";"4,87";"4,9";NA
2020-12-07;"0,15";"0,3";"0,43";"0,44";"0,47";NA;"5,25";"5,1";"4,91";"4,87";"4,89";NA
2020-12-08;"0,15";"0,3";"0,43";"0,44";"0,47";NA;"5,25";"5,09";"4,91";"4,87";"4,89";NA
2020-12-09;"0,15";"0,3";"0,43";"0,44";"0,47";NA;"5,25";"5,09";"4,91";"4,86";"4,89";NA
2020-12-10;"0,15";"0,3";"0,43";"0,44";"0,47";NA;"5,24";"5,09";"4,9";"4,85";"4,87";NA
2020-12-11;"0,15";"0,3";"0,43";"0,43";"0,47";NA;"5,24";"5,08";"4,9";"4,85";"4,87";NA
2020-12-14;"0,15";"0,29";"0,42";"0,44";"0,47";NA;"5,22";"5,07";"4,9";"4,85";"4,87";NA
2020-12-15;"0,15";"0,29";"0,42";"0,43";"0,46";NA;"5,21";"5,07";"4,9";"4,86";"4,88";NA
2020-12-16;"0,15";"0,29";"0,42";"0,43";"0,46";NA;"5,21";"5,06";"4,9";"4,86";"4,88";NA
2020-12-17;"0,15";"0,29";"0,41";"0,43";"0,47";NA;"5,21";"5,07";"4,91";"4,87";"4,88";NA
2020-12-18;"0,14";"0,28";"0,41";"0,42";"0,46";NA;"5,18";"5,05";"4,9";"4,86";"4,87";NA
2020-12-21;"0,13";"0,27";"0,42";"0,43";"0,47";NA;"5,17";"5,05";"4,9";"4,85";"4,86";NA
2020-12-22;"0,13";"0,27";"0,42";"0,43";"0,47";NA;"5,17";"5,05";"4,9";"4,85";"4,86";NA
2020-12-23;"0,12";"0,27";"0,42";"0,43";"0,47";NA;"5,17";"5,05";"4,9";"4,85";"4,86";NA
2020-12-24;"0,12";"0,27";"0,42";"0,43";"0,47";NA;"5,17";"5,04";"4,9";"4,85";"4,85";NA
2020-12-28;"0,12";"0,28";"0,42";"0,43";"0,47";NA;"5,16";"5,04";"4,9";"4,85";"4,85";NA
2020-12-29;"0,11";"0,28";"0,42";"0,43";"0,47";NA;"5,17";"5,03";"4,9";"4,85";"4,85";NA
2020-12-30;"0,11";"0,28";"0,42";"0,43";"0,47";NA;"5,17";"5,03";"4,9";"4,85";"4,85";NA
2020-12-31;NA;"0,28";"0,42";"0,43";"0,47";"0,09";NA;"5,03";"4,9";"4,85";"4,85";"5,09"
