"Data";"Desvio Padrão 2019";"Desvio Padrão 2020";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Media 2019";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2019-12-12;"0,07";"0,17";"0,24";"0,24";"0,27";NA;"4,14";"4,08";"4,03";"4,07";"4,12";NA
2019-12-13;"0,07";"0,17";"0,24";"0,24";"0,27";NA;"4,13";"4,07";"4,03";"4,07";"4,12";NA
2019-12-16;"0,07";"0,17";"0,24";"0,25";"0,27";NA;"4,13";"4,07";"4,03";"4,07";"4,13";NA
2019-12-17;"0,07";"0,17";"0,24";"0,25";"0,27";NA;"4,13";"4,07";"4,03";"4,07";"4,13";NA
2019-12-18;"0,08";"0,17";"0,24";"0,25";"0,27";NA;"4,13";"4,07";"4,03";"4,07";"4,13";NA
2019-12-19;"0,07";"0,16";"0,24";"0,25";"0,27";NA;"4,12";"4,07";"4,03";"4,07";"4,13";NA
2019-12-20;"0,07";"0,16";"0,24";"0,25";"0,27";NA;"4,1";"4,07";"4,03";"4,07";"4,12";NA
2019-12-23;"0,06";"0,16";"0,24";"0,24";"0,27";NA;"4,1";"4,07";"4,03";"4,07";"4,12";NA
2019-12-24;"0,06";"0,16";"0,24";"0,24";"0,27";NA;"4,1";"4,06";"4,02";"4,07";"4,12";NA
2019-12-26;"0,06";"0,16";"0,24";"0,25";"0,27";NA;"4,1";"4,07";"4,03";"4,07";"4,12";NA
2019-12-27;"0,06";"0,16";"0,23";"0,25";"0,27";NA;"4,09";"4,06";"4,03";"4,07";"4,12";NA
2019-12-30;"0,06";"0,16";"0,23";"0,25";"0,27";NA;"4,09";"4,07";"4,03";"4,07";"4,13";NA
2019-12-31;NA;"0,16";"0,23";"0,25";"0,27";NA;NA;"4,07";"4,03";"4,07";"4,13";NA
2020-01-02;NA;"0,16";"0,23";"0,25";"0,27";"0,22";NA;"4,07";"4,03";"4,07";"4,13";"4,37"
2020-01-03;NA;"0,15";"0,23";"0,24";"0,27";"0,29";NA;"4,07";"4,03";"4,07";"4,11";"4,05"
2020-01-06;NA;"0,15";"0,24";"0,25";"0,27";"0,29";NA;"4,06";"4,02";"4,06";"4,11";"4,09"
2020-01-07;NA;"0,15";"0,24";"0,25";"0,27";"0,29";NA;"4,06";"4,02";"4,06";"4,11";"4,09"
2020-01-08;NA;"0,15";"0,24";"0,25";"0,27";"0,29";NA;"4,06";"4,02";"4,06";"4,11";"4,09"
2020-01-09;NA;"0,15";"0,23";"0,25";"0,27";"0,27";NA;"4,06";"4,03";"4,06";"4,11";"4,1"
2020-01-10;NA;"0,15";"0,23";"0,24";"0,27";"0,28";NA;"4,06";"4,03";"4,06";"4,11";"4,11"
2020-01-13;NA;"0,15";"0,22";"0,23";"0,27";"0,3";NA;"4,06";"4,04";"4,07";"4,11";"4,13"
2020-01-14;NA;"0,15";"0,22";"0,24";"0,26";"0,29";NA;"4,06";"4,04";"4,07";"4,11";"4,13"
2020-01-15;NA;"0,15";"0,22";"0,24";"0,26";"0,29";NA;"4,06";"4,04";"4,07";"4,11";"4,13"
2020-01-16;NA;"0,15";"0,23";"0,24";"0,26";"0,29";NA;"4,06";"4,02";"4,07";"4,11";"4,13"
2020-01-17;NA;"0,15";"0,23";"0,24";"0,26";"0,3";NA;"4,06";"4,02";"4,07";"4,11";"4,17"
2020-01-20;NA;"0,15";"0,24";"0,24";"0,26";"0,3";NA;"4,06";"4,01";"4,06";"4,11";"4,18"
2020-01-21;NA;"0,15";"0,24";"0,24";"0,26";"0,3";NA;"4,06";"4,01";"4,06";"4,11";"4,18"
2020-01-22;NA;"0,15";"0,24";"0,24";"0,26";"0,29";NA;"4,06";"4,02";"4,06";"4,11";"4,19"
2020-01-23;NA;"0,15";"0,24";"0,24";"0,26";"0,29";NA;"4,07";"4,02";"4,06";"4,12";"4,21"
2020-01-24;NA;"0,14";"0,23";"0,24";"0,26";"0,3";NA;"4,07";"4,03";"4,08";"4,13";"4,22"
2020-01-27;NA;"0,14";"0,23";"0,24";"0,26";"0,32";NA;"4,08";"4,04";"4,08";"4,13";"4,23"
2020-01-28;NA;"0,14";"0,23";"0,24";"0,26";"0,32";NA;"4,08";"4,04";"4,08";"4,13";"4,23"
2020-01-29;NA;"0,14";"0,23";"0,24";"0,26";"0,31";NA;"4,08";"4,04";"4,08";"4,13";"4,23"
2020-01-30;NA;"0,14";"0,23";"0,24";"0,26";"0,31";NA;"4,08";"4,04";"4,08";"4,13";"4,23"
2020-01-31;NA;"0,14";"0,23";"0,24";"0,26";"0,3";NA;"4,09";"4,05";"4,08";"4,13";"4,22"
2020-02-03;NA;"0,14";"0,23";"0,24";"0,26";"0,3";NA;"4,09";"4,05";"4,08";"4,13";"4,22"
2020-02-04;NA;"0,14";"0,22";"0,23";"0,26";"0,29";NA;"4,09";"4,05";"4,09";"4,13";"4,22"
2020-02-05;NA;"0,14";"0,23";"0,23";"0,26";"0,29";NA;"4,09";"4,05";"4,09";"4,13";"4,22"
2020-02-06;NA;"0,15";"0,22";"0,23";"0,26";"0,29";NA;"4,09";"4,06";"4,09";"4,14";"4,22"
2020-02-07;NA;"0,15";"0,22";"0,23";"0,25";"0,29";NA;"4,11";"4,07";"4,1";"4,14";"4,22"
