"Data";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025"
2021-04-30;"-6,58";"-18,98";"-23,68";"-29,81";"-32,82"
2021-05-03;"-5,83";"-18,25";"-22,05";"-27,29";"-29,43"
2021-05-04;"-5,83";"-18,25";"-22,05";"-27,29";"-29,43"
2021-05-05;"-6,43";"-18,25";"-22,05";"-27,29";"-29,43"
2021-05-06;"-6,43";"-18,25";"-22,05";"-27,29";"-29,43"
2021-05-07;"-5,87";"-19,35";"-23,93";"-29,59";"-31,75"
2021-05-10;"-5,06";"-17,49";"-23,93";"-29,59";"-31,75"
2021-05-11;"-5,06";"-17,49";"-23,93";"-29,59";"-31,75"
2021-05-12;"-4,86";"-17,81";"-24,36";"-29,42";"-31,56"
2021-05-13;"-5,13";"-18";"-22,8";"-28,1";"-30,51"
2021-05-14;"-5,4";"-18,02";"-25,66";"-31,54";"-34,72"
2021-05-17;"-4,59";"-16,77";"-23,1";"-31,54";"-34,72"
2021-05-18;"-4,72";"-18,38";"-23,1";"-31,54";"-34,72"
2021-05-19;"-4,72";"-18,38";"-23,1";"-31,54";"-34,72"
2021-05-20;"-4,58";"-18,18";"-23,1";"-31,54";"-34,72"
2021-05-21;"-2,47";"-15,38";"-19,59";"-27,84";"-32,44"
2021-05-24;"-3,07";"-12,81";"-16,6";"-26,03";"-30,98"
2021-05-25;"-1,7";"-12,81";"-16,6";"-26,03";"-30,98"
2021-05-26;"-1,74";"-13,32";"-16,6";"-26,03";"-30,98"
2021-05-27;"-1,99";"-16,48";"-23,97";"-38,23";"-44,17"
2021-05-28;"-1,3";"-16,1";"-23,72";"-38,23";"-44,17"
2021-05-31;"-1,29";"-16,25";"-23,42";"-38,86";"-44,17"
2021-06-01;"-1,29";"-16,25";"-23,42";"-38,86";"-44,17"
2021-06-02;"-1,51";"-16,5";"-23,97";"-37,11";"-41,75"
2021-06-04;"-1,81";"-14,23";"-19,62";"-33,24";"-39,8"
2021-06-07;"-1,81";"-14,23";"-19,62";"-33,24";"-39,8"
2021-06-08;"-1,38";"-13,76";"-19,62";"-33,24";"-39,8"
2021-06-09;"-1,35";"-14,34";"-20,28";"-32,58";"-37,68"
2021-06-10;"-1,26";"-14,39";"-20,36";"-32,83";"-38,11"
2021-06-11;"-0,7";"-15,39";"-20,12";"-34,43";"-41,61"
2021-06-14;"-0,79";"-15,34";"-21,33";"-34,99";"-41,43"
2021-06-15;"-0,79";"-15,34";"-21,33";"-34,99";"-41,43"
2021-06-16;"-1,39";"-15,17";"-20,57";"-32,61";"-38,29"
2021-06-17;"-1,85";"-15,96";"-22,04";"-32,59";"-38,25"
2021-06-18;"-1,81";"-15,19";"-22,11";"-32,59";"-38,25"
