"Data";"Desvio Padrão 2020";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2020-08-18;"3,86";"4,75";"6,17";"5,51";"6,06";"66,73";"68,59";"70,31";"70,66";"71,74"
2020-08-19;"3,86";"4,75";"6,17";"5,51";"6,06";"66,73";"68,59";"70,31";"70,66";"71,74"
2020-08-20;"3,86";"4,69";"6,17";"5,51";"6,06";"66,73";"68,54";"70,31";"70,66";"71,74"
2020-08-21;"3,86";"4,69";"6,17";"5,51";"6,06";"66,73";"68,54";"70,31";"70,66";"71,74"
2020-08-24;"3,83";"4,77";"6,11";"5,43";"6,01";"66,98";"68,68";"70,76";"71,15";"72,24"
2020-08-25;"3,83";"4,77";"6,11";"5,43";"6,01";"66,98";"68,68";"70,76";"71,15";"72,24"
2020-08-26;"3,83";"4,77";"6,11";"5,43";"6,01";"66,98";"68,68";"70,76";"71,15";"72,24"
2020-08-27;"3,83";"4,77";"6,11";"5,43";"6,01";"66,98";"68,68";"70,76";"71,15";"72,24"
2020-08-28;"3,73";"4,64";"5,92";"5,25";"5,83";"66,92";"68,7";"70,79";"71,27";"72,41"
2020-08-31;"3,71";"4,72";"6,01";"5,35";"5,96";"67,03";"68,88";"71,07";"71,54";"72,68"
2020-09-01;"4,14";"5,11";"6,41";"5,83";"5,96";"66,55";"68,33";"70,38";"70,79";"72,68"
2020-09-02;"4,14";"5,17";"6,49";"5,92";"6,05";"66,58";"68,38";"70,44";"70,84";"72,75"
2020-09-03;"4,14";"5,17";"6,49";"5,92";"6,05";"66,58";"68,38";"70,44";"70,84";"72,75"
2020-09-04;"3,61";"4,76";"5,91";"5,28";"5,22";"67,07";"68,94";"71,19";"71,73";"73,73"
2020-09-08;"3,74";"5,12";"6,29";"5,59";"5,65";"67,33";"69,13";"71";"71,33";"73,39"
2020-09-09;"3,64";"4,99";"6,13";"5,4";"5,45";"67,26";"68,99";"70,79";"71,17";"73,13"
2020-09-10;"3,64";"4,99";"6,13";"5,4";"5,45";"67,26";"68,99";"70,79";"71,17";"73,13"
2020-09-11;"3,48";"4,76";"5,96";"5,28";"5,34";"67,4";"69,22";"70,81";"71,22";"73,28"
2020-09-14;"3,43";"4,68";"6,03";"5,44";"5,52";"67,63";"69,56";"71,12";"71,39";"73,52"
2020-09-15;"3,43";"4,68";"6,03";"5,44";"5,52";"67,63";"69,56";"71,12";"71,39";"73,52"
2020-09-16;"3,43";"4,68";"6,03";"5,44";"5,52";"67,63";"69,56";"71,12";"71,39";"73,52"
2020-09-17;"3,36";"4,58";"5,84";"5,28";"5,32";"67,56";"69,42";"71,1";"71,56";"73,71"
2020-09-18;"3,29";"4,47";"5,69";"5,28";"5,32";"67,48";"69,35";"70,98";"71,56";"73,71"
2020-09-21;"3,29";"4,47";"5,69";"5,28";"5,32";"67,48";"69,35";"70,98";"71,56";"73,71"
2020-09-22;"3,29";"4,47";"5,69";"5,28";"5,32";"67,48";"69,35";"70,98";"71,56";"73,71"
2020-09-23;"2,96";"3,99";"4,97";"5,28";"5,32";"67,32";"69,15";"70,67";"71,56";"73,71"
2020-09-24;"2,96";"3,99";"4,97";"5,28";"5,32";"67,32";"69,15";"70,67";"71,56";"73,71"
2020-09-25;"2,89";"3,89";"4,86";"5,17";"5,15";"67,3";"69,2";"70,8";"71,79";"73,88"
2020-09-28;"3,01";"4,03";"5,08";"5,49";"5,41";"67,43";"69,38";"70,98";"71,91";"74,24"
2020-09-29;"3,01";"4,03";"5,08";"5,49";"5,41";"67,43";"69,38";"70,98";"71,91";"74,24"
2020-09-30;"3,01";"4,03";"5,08";"5,49";"5,41";"67,43";"69,38";"70,98";"71,91";"74,24"
2020-10-01;"3,1";"4,03";"5,08";"5,49";"5,41";"67,42";"69,38";"70,98";"71,91";"74,24"
2020-10-02;"2,05";"3,19";"4,32";"4,87";"5,77";"67,89";"70,07";"71,94";"73,38";"75,11"
2020-10-05;"2,05";"3,19";"4,32";"4,87";"5,77";"67,89";"70,07";"71,94";"73,38";"75,11"
2020-10-06;"2,05";"3,19";"4,32";"4,87";"5,77";"67,89";"70,07";"71,94";"73,38";"75,11"
2020-10-07;"1,87";"3,22";"4,31";"4,83";"5,76";"67,65";"69,72";"71,7";"73,09";"74,69"
2020-10-08;"1,86";"3,16";"4,21";"4,69";"5,63";"67,62";"69,65";"71,62";"73";"74,59"
2020-10-09;"1,7";"3,07";"4,23";"4,7";"5,63";"67,42";"69,44";"71,58";"72,97";"74,59"
2020-10-13;"1,73";"3,18";"4,37";"4,94";"5,95";"67,41";"69,49";"71,78";"73,25";"74,93"
2020-10-14;"2,35";"3,4";"4,41";"5,03";"6,08";"67,81";"69,85";"71,75";"73,12";"74,68"
2020-10-15;"2,35";"3,4";"4,41";"5,03";"6,08";"67,81";"69,85";"71,75";"73,12";"74,68"
2020-10-16;"2,36";"3,22";"3,9";"3,98";"4,67";"68,25";"70,53";"72,76";"74,52";"76,25"
2020-10-19;"2,37";"3,22";"3,99";"4,14";"4,88";"68,49";"70,88";"73,16";"74,59";"76,29"
2020-10-20;"2,36";"3,23";"4";"4,14";"4,88";"68,48";"70,89";"73,17";"74,59";"76,29"
2020-10-21;"2,36";"3,23";"4";"4,14";"4,88";"68,48";"70,89";"73,17";"74,59";"76,29"
2020-10-22;"2,4";"3,3";"4,01";"4,13";"4,83";"68,44";"70,84";"73,16";"74,6";"76,33"
2020-10-23;"2,33";"3,18";"3,68";"3,87";"4,76";"68,34";"70,61";"72,96";"74,52";"76,35"
2020-10-26;"2,37";"3,27";"3,68";"3,87";"4,76";"68,19";"70,38";"72,96";"74,52";"76,35"
2020-10-27;"2,37";"3,27";"3,68";"3,87";"4,76";"68,19";"70,38";"72,96";"74,52";"76,35"
2020-10-28;"2,37";"3,27";"3,68";"3,87";"4,76";"68,19";"70,38";"72,96";"74,52";"76,35"
2020-10-29;"2,37";"3,27";"3,68";"3,87";"4,76";"68,19";"70,38";"72,96";"74,52";"76,35"
2020-10-30;"3,14";"3,99";"4,65";"4,96";"4,69";"67,72";"69,79";"72,14";"73,55";"76,28"
2020-11-03;"3,17";"4,02";"4,75";"5,13";"4,6";"67,72";"69,89";"72,35";"74,19";"77,22"
2020-11-04;"3,17";"4,02";"4,75";"5,13";"4,6";"67,72";"69,89";"72,35";"74,19";"77,22"
2020-11-05;"3,17";"4,02";"4,75";"5,13";"4,6";"67,72";"69,89";"72,35";"74,19";"77,22"
2020-11-06;"3,17";"4,02";"4,75";"5,13";"4,6";"67,72";"69,89";"72,35";"74,19";"77,22"
2020-11-09;"3,29";"3,98";"4,62";"5,12";"4,1";"67,75";"69,95";"72,58";"74,58";"77,94"
2020-11-10;"3,22";"3,97";"4,63";"5,13";"4,6";"67,68";"69,75";"72,29";"74,19";"77,22"
2020-11-11;"3,22";"3,97";"4,63";"5,13";"4,6";"67,68";"69,75";"72,29";"74,19";"77,22"
2020-11-12;"3,21";"3,98";"4,65";"5,15";"4,75";"67,66";"69,71";"72,22";"74,08";"76,94"
2020-11-13;"3,1";"3,83";"4,51";"4,97";"4,72";"67,52";"69,56";"71,94";"73,7";"76,31"
2020-11-16;"2,72";"3,65";"4,51";"4,97";"4,72";"67,18";"69,26";"71,94";"73,7";"76,31"
2020-11-17;"2,9";"3,92";"4,77";"5,22";"5,06";"66,91";"68,78";"71,38";"73,06";"75,44"
2020-11-18;"2,9";"3,92";"4,77";"5,22";"5,06";"66,91";"68,78";"71,38";"73,06";"75,44"
2020-11-19;"2,93";"3,93";"4,74";"5,24";"5,05";"66,7";"68,55";"71,07";"72,73";"75,17"
2020-11-20;"2,88";"3,86";"4,61";"5,02";"4,74";"66,69";"68,6";"71,21";"73,02";"75,51"
