"Data";"Desvio Padrão 2020";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2020-06-24;"0,15";"0,45";"0,52";"0,54";"0,58";"5,1";"4,98";"4,76";"4,76";"4,78"
2020-06-25;"0,15";"0,45";"0,51";"0,54";"0,58";"5,1";"4,98";"4,75";"4,75";"4,77"
2020-06-26;"0,14";"0,43";"0,5";"0,52";"0,56";"5,1";"4,97";"4,76";"4,76";"4,78"
2020-06-29;"0,14";"0,4";"0,48";"0,52";"0,56";"5,1";"4,99";"4,78";"4,76";"4,78"
2020-06-30;"0,13";"0,4";"0,48";"0,52";"0,56";"5,13";"5,01";"4,77";"4,75";"4,77"
2020-07-01;"0,13";"0,39";"0,48";"0,52";"0,56";"5,13";"5";"4,77";"4,75";"4,77"
2020-07-02;"0,13";"0,38";"0,48";"0,52";"0,56";"5,13";"5,01";"4,78";"4,76";"4,77"
2020-07-03;"0,12";"0,39";"0,48";"0,52";"0,56";"5,13";"5,02";"4,78";"4,76";"4,78"
2020-07-06;"0,12";"0,38";"0,47";"0,51";"0,56";"5,13";"5,03";"4,79";"4,78";"4,78"
2020-07-07;"0,12";"0,38";"0,47";"0,51";"0,55";"5,13";"5,03";"4,8";"4,78";"4,78"
2020-07-08;"0,12";"0,38";"0,47";"0,52";"0,56";"5,13";"5,03";"4,8";"4,79";"4,79"
2020-07-09;"0,12";"0,38";"0,47";"0,51";"0,56";"5,13";"5,03";"4,81";"4,79";"4,79"
2020-07-10;"0,11";"0,37";"0,46";"0,51";"0,56";"5,14";"5,03";"4,82";"4,8";"4,81"
2020-07-13;"0,11";"0,38";"0,47";"0,52";"0,56";"5,15";"5,04";"4,81";"4,8";"4,83"
2020-07-14;"0,11";"0,37";"0,46";"0,51";"0,55";"5,15";"5,04";"4,81";"4,8";"4,82"
2020-07-15;"0,11";"0,36";"0,46";"0,51";"0,55";"5,15";"5,05";"4,81";"4,8";"4,82"
2020-07-16;"0,11";"0,35";"0,46";"0,51";"0,55";"5,15";"5,06";"4,81";"4,8";"4,82"
2020-07-17;"0,11";"0,36";"0,47";"0,52";"0,56";"5,15";"5,05";"4,8";"4,79";"4,81"
2020-07-20;"0,11";"0,36";"0,48";"0,52";"0,56";"5,16";"5,06";"4,82";"4,81";"4,82"
2020-07-21;"0,11";"0,36";"0,48";"0,52";"0,56";"5,16";"5,07";"4,82";"4,81";"4,83"
