"Data";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025"
2020-12-01;"43,15";"59,45";"70,46";"76,45";"80,48";NA
2020-12-02;"43,15";"59,45";"70,46";"76,45";"80,48";NA
2020-12-03;"43,15";"59,45";"70,46";"76,45";"80,48";NA
2020-12-04;"43,51";"59,29";"70,29";"75,18";"80,48";NA
2020-12-07;"43,14";"59,97";"70,73";"75,53";"80,89";NA
2020-12-08;"43,14";"59,97";"70,73";"75,53";"80,89";NA
2020-12-09;"43,14";"59,97";"70,73";"75,53";"80,89";NA
2020-12-10;"43,14";"59,97";"70,73";"75,53";"80,89";NA
2020-12-11;"42,92";"59,97";"70,66";"75,49";"80,85";NA
2020-12-14;"42,37";"59,29";"68,79";"73,06";"80,85";NA
2020-12-15;"42,28";"59,29";"68,79";"73,06";"80,85";NA
2020-12-16;"42,28";"59,29";"68,79";"73,06";"80,85";NA
2020-12-17;"41,61";"59,31";"68,9";"73,06";"80,85";NA
2020-12-18;"41,41";"59,19";"68,78";"73,06";"80,85";NA
2020-12-21;"41,3";"59,11";"68,61";"73,16";"82,16";NA
2020-12-22;"41,3";"59,11";"68,61";"73,16";"82,16";NA
2020-12-23;"41,3";"59,11";"68,61";"73,16";"82,16";NA
2020-12-24;"41,63";"58,79";"68,61";"73,16";"82,16";NA
2020-12-28;"41,63";"59,06";"68,87";"73,48";"82,16";NA
2020-12-29;"41,63";"58,79";"68,87";"73,48";"82,16";NA
2020-12-30;"41,63";"58,79";"68,87";"73,48";"82,16";NA
2020-12-31;"41,63";"58,79";"68,87";"73,48";"82,16";NA
2021-01-04;"40,69";"57,63";"68,11";"73,54";"80,63";NA
2021-01-05;"40,69";"57,63";"68,11";"73,54";"80,63";NA
2021-01-06;"40,63";"57,63";"68,11";"73,54";"80,63";NA
2021-01-07;"41";"56,47";"67,22";"72,47";"79,9";NA
2021-01-08;"41";"56,47";"67,22";"72,47";"79,9";NA
2021-01-11;"40,79";"54,79";"63,6";"69";"77";NA
2021-01-12;"40,51";"55,14";"64,18";"69,17";"77";NA
2021-01-13;"40,23";"55,76";"65,38";"69,17";"77";NA
2021-01-14;"40,23";"55,76";"65,38";"69,17";"77";NA
2021-01-15;"40,65";"57,62";"67,34";"72,11";"79,9";NA
2021-01-18;"40,69";"58,65";"68,68";"74,13";"79,88";NA
2021-01-19;"40,69";"58,65";"68,68";"74,13";"79,88";NA
2021-01-20;"40,65";"58,73";"69,49";"74,97";"79,9";NA
2021-01-21;"40,65";"58,73";"69,49";"74,97";"79,9";NA
2021-01-22;"40,42";"58,53";"69,85";"75,6";"80,63";NA
2021-01-25;"40,2";"58,06";"68,86";"73,98";"78,93";NA
2021-01-26;"40,2";"58,06";"68,86";"73,98";"78,93";NA
2021-01-27;NA;"58,06";"68,86";"73,98";"78,93";NA
2021-01-28;NA;"57,69";"68,86";"73,98";"78,93";NA
2021-01-29;NA;"57,16";"68,86";"74,58";"78,93";"62,5"
2021-02-01;NA;"57,16";"68,86";"74,58";"78,93";"62,5"
2021-02-02;NA;"56,56";"68,86";"74,58";"78,93";"62,5"
2021-02-03;NA;"56,56";"68,86";"74,58";"78,93";"62,5"
2021-02-04;NA;"56,64";"69,12";"74,53";"78,06";"62,5"
2021-02-05;NA;"57,56";"69,18";"73,58";"76,43";"63,33"
2021-02-08;NA;"57,53";"69,18";"73,58";"76,43";"63,33"
2021-02-09;NA;"56,93";"68,35";"73,58";"76,43";"63,33"
2021-02-10;NA;"56,93";"68,35";"73,58";"76,43";"63,33"
2021-02-11;NA;"56,93";"68,35";"73,58";"76,43";"63,33"
2021-02-12;NA;"56,93";"68,35";"74,16";"77,27";"69,5"
2021-02-17;NA;"54,57";"65,43";"71,38";"72,29";"69,5"
2021-02-18;NA;"55,21";"65,43";"71,38";"72,29";"69,5"
2021-02-19;NA;"56,28";"65,94";"72,52";"74,01";"73,14"
2021-02-22;NA;"56,11";"64,01";"70,65";"71,59";"73,14"
2021-02-23;NA;"54,51";"63,44";"70,52";"71,79";"73,56"
2021-02-24;NA;"54,51";"63,44";"70,52";"71,79";"73,56"
2021-02-25;NA;"54,51";"63,44";"70,52";"71,79";"73,56"
2021-02-26;NA;"54,51";"63,44";"70,52";"71,79";"73,56"
2021-03-01;NA;"54,46";"63,44";"70,52";"71,79";"73,56"
2021-03-02;NA;"54,46";"63,44";"70,52";"71,79";"73,56"
2021-03-03;NA;"54,46";"63,44";"70,52";"71,79";"73,56"
2021-03-04;NA;"54,46";"63,44";"70,52";"71,79";"73,56"
2021-03-05;NA;"54,11";"62,37";"69,52";"71,79";"73,56"
2021-03-08;NA;"54,11";"62,37";"69,52";"71,79";"73,56"
2021-03-09;NA;"54,11";"62,37";"69,52";"71,79";"73,56"
2021-03-10;NA;"54,11";"62,37";"69,52";"71,79";"73,56"
2021-03-11;NA;"54,11";"62,37";"69,52";"71,79";"73,56"
2021-03-12;NA;"54,43";"62,01";"68,11";"70,51";"73,3"
