"Data";"Desvio Padrão 2020";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2020-06-24;"0,34";"0,47";"0,53";"0,52";"0,57";"5,2";"4,96";"4,79";"4,82";"4,82"
2020-06-25;"0,34";"0,48";"0,53";"0,52";"0,57";"5,19";"4,95";"4,78";"4,8";"4,8"
2020-06-26;"0,32";"0,46";"0,52";"0,5";"0,55";"5,19";"4,94";"4,78";"4,81";"4,8"
2020-06-29;"0,32";"0,44";"0,5";"0,5";"0,55";"5,18";"4,96";"4,8";"4,81";"4,8"
2020-06-30;"0,32";"0,44";"0,5";"0,5";"0,55";"5,2";"4,98";"4,8";"4,8";"4,8"
2020-07-01;"0,32";"0,43";"0,5";"0,5";"0,55";"5,2";"4,97";"4,8";"4,8";"4,8"
2020-07-02;"0,32";"0,43";"0,5";"0,5";"0,55";"5,2";"4,97";"4,8";"4,8";"4,8"
2020-07-03;"0,31";"0,44";"0,5";"0,5";"0,55";"5,2";"4,98";"4,81";"4,81";"4,8"
2020-07-06;"0,31";"0,43";"0,49";"0,49";"0,54";"5,2";"4,98";"4,82";"4,82";"4,8"
2020-07-07;"0,31";"0,43";"0,49";"0,49";"0,54";"5,2";"4,99";"4,82";"4,82";"4,8"
2020-07-08;"0,31";"0,43";"0,49";"0,49";"0,54";"5,2";"4,99";"4,82";"4,83";"4,81"
2020-07-09;"0,3";"0,42";"0,49";"0,49";"0,54";"5,2";"5";"4,83";"4,83";"4,82"
2020-07-10;"0,3";"0,41";"0,49";"0,49";"0,54";"5,21";"4,99";"4,83";"4,84";"4,83"
2020-07-13;"0,3";"0,42";"0,49";"0,5";"0,55";"5,21";"4,99";"4,83";"4,85";"4,84"
2020-07-14;"0,3";"0,42";"0,49";"0,49";"0,54";"5,21";"4,98";"4,82";"4,84";"4,83"
2020-07-15;"0,3";"0,41";"0,49";"0,49";"0,54";"5,22";"5";"4,82";"4,84";"4,83"
2020-07-16;"0,3";"0,41";"0,49";"0,49";"0,54";"5,22";"5";"4,82";"4,84";"4,83"
2020-07-17;"0,31";"0,42";"0,49";"0,5";"0,55";"5,21";"4,99";"4,82";"4,83";"4,83"
2020-07-20;"0,3";"0,42";"0,49";"0,49";"0,55";"5,22";"5";"4,83";"4,86";"4,84"
2020-07-21;"0,3";"0,42";"0,49";"0,5";"0,55";"5,22";"5";"4,83";"4,86";"4,84"
2020-07-22;"0,29";"0,42";"0,49";"0,5";"0,55";"5,22";"4,99";"4,82";"4,83";"4,81"
2020-07-23;"0,29";"0,43";"0,49";"0,5";"0,56";"5,21";"4,98";"4,8";"4,82";"4,8"
2020-07-24;"0,28";"0,4";"0,49";"0,5";"0,56";"5,17";"4,99";"4,78";"4,79";"4,79"
2020-07-27;"0,28";"0,4";"0,48";"0,5";"0,56";"5,17";"4,99";"4,78";"4,79";"4,79"
2020-07-28;"0,28";"0,4";"0,48";"0,5";"0,56";"5,17";"4,99";"4,78";"4,79";"4,79"
2020-07-29;"0,27";"0,4";"0,48";"0,5";"0,56";"5,17";"4,99";"4,78";"4,79";"4,79"
2020-07-30;"0,27";"0,4";"0,48";"0,5";"0,56";"5,17";"4,99";"4,78";"4,79";"4,79"
2020-07-31;"0,26";"0,39";"0,48";"0,5";"0,55";"5,15";"4,97";"4,78";"4,79";"4,79"
2020-08-03;"0,26";"0,39";"0,48";"0,49";"0,55";"5,15";"4,98";"4,79";"4,8";"4,8"
2020-08-04;"0,26";"0,39";"0,48";"0,49";"0,55";"5,15";"4,98";"4,79";"4,8";"4,8"
2020-08-05;"0,26";"0,39";"0,48";"0,49";"0,55";"5,15";"4,98";"4,79";"4,8";"4,8"
2020-08-06;"0,26";"0,39";"0,48";"0,49";"0,55";"5,15";"4,98";"4,79";"4,8";"4,8"
2020-08-07;"0,26";"0,38";"0,47";"0,49";"0,55";"5,15";"4,98";"4,78";"4,78";"4,78"
2020-08-10;"0,26";"0,38";"0,47";"0,48";"0,54";"5,15";"4,98";"4,78";"4,77";"4,76"
2020-08-11;"0,26";"0,38";"0,46";"0,48";"0,54";"5,16";"4,98";"4,78";"4,77";"4,77"
2020-08-12;"0,27";"0,39";"0,47";"0,49";"0,54";"5,17";"4,99";"4,79";"4,8";"4,8"
2020-08-13;"0,27";"0,39";"0,48";"0,5";"0,55";"5,17";"4,99";"4,8";"4,8";"4,8"
2020-08-14;"0,27";"0,39";"0,47";"0,49";"0,54";"5,17";"4,99";"4,79";"4,8";"4,8"
2020-08-17;"0,26";"0,36";"0,47";"0,49";"0,53";"5,17";"4,99";"4,8";"4,8";"4,81"
2020-08-18;"0,26";"0,37";"0,48";"0,5";"0,54";"5,17";"4,98";"4,79";"4,79";"4,8"
2020-08-19;"0,26";"0,37";"0,48";"0,5";"0,54";"5,17";"4,98";"4,79";"4,79";"4,8"
2020-08-20;"0,26";"0,37";"0,48";"0,5";"0,54";"5,17";"4,98";"4,79";"4,79";"4,8"
2020-08-21;"0,26";"0,39";"0,48";"0,5";"0,54";"5,2";"5";"4,8";"4,8";"4,81"
2020-08-24;"0,27";"0,39";"0,48";"0,51";"0,55";"5,2";"5";"4,8";"4,8";"4,82"
2020-08-25;"0,26";"0,38";"0,48";"0,51";"0,55";"5,2";"5";"4,81";"4,8";"4,82"
2020-08-26;"0,26";"0,39";"0,48";"0,51";"0,55";"5,2";"5";"4,81";"4,8";"4,82"
2020-08-27;"0,26";"0,39";"0,48";"0,5";"0,54";"5,21";"5";"4,8";"4,8";"4,81"
2020-08-28;"0,26";"0,38";"0,46";"0,49";"0,53";"5,21";"5,01";"4,81";"4,81";"4,82"
2020-08-31;"0,27";"0,38";"0,47";"0,5";"0,54";"5,23";"5,01";"4,81";"4,8";"4,81"
2020-09-01;"0,27";"0,38";"0,46";"0,5";"0,54";"5,23";"5,01";"4,81";"4,8";"4,82"
2020-09-02;"0,27";"0,38";"0,46";"0,5";"0,54";"5,23";"5,01";"4,81";"4,8";"4,82"
2020-09-03;"0,27";"0,39";"0,47";"0,5";"0,54";"5,23";"5,01";"4,82";"4,81";"4,83"
2020-09-04;"0,26";"0,37";"0,47";"0,49";"0,54";"5,21";"5";"4,81";"4,81";"4,82"
2020-09-08;"0,26";"0,38";"0,47";"0,5";"0,54";"5,22";"5";"4,8";"4,8";"4,82"
2020-09-09;"0,26";"0,37";"0,47";"0,49";"0,54";"5,21";"5";"4,8";"4,8";"4,82"
2020-09-10;"0,25";"0,37";"0,46";"0,49";"0,53";"5,2";"4,99";"4,8";"4,8";"4,82"
2020-09-11;"0,23";"0,35";"0,45";"0,49";"0,53";"5,21";"5,01";"4,82";"4,81";"4,83"
2020-09-14;"0,22";"0,34";"0,44";"0,48";"0,53";"5,21";"5,01";"4,82";"4,81";"4,83"
2020-09-15;"0,22";"0,34";"0,44";"0,48";"0,53";"5,21";"5,01";"4,82";"4,81";"4,83"
2020-09-16;"0,22";"0,34";"0,44";"0,48";"0,53";"5,21";"5,01";"4,82";"4,81";"4,83"
2020-09-17;"0,22";"0,34";"0,44";"0,48";"0,53";"5,21";"5,01";"4,82";"4,81";"4,83"
2020-09-18;"0,22";"0,34";"0,44";"0,48";"0,54";"5,21";"5,01";"4,82";"4,81";"4,82"
2020-09-21;"0,22";"0,34";"0,44";"0,48";"0,53";"5,2";"5,01";"4,82";"4,8";"4,82"
2020-09-22;"0,22";"0,34";"0,44";"0,48";"0,53";"5,2";"5,01";"4,82";"4,8";"4,82"
2020-09-23;"0,22";"0,34";"0,44";"0,48";"0,53";"5,21";"5,01";"4,82";"4,81";"4,83"
2020-09-24;"0,22";"0,34";"0,44";"0,49";"0,54";"5,2";"5,01";"4,81";"4,8";"4,81"
2020-09-25;"0,23";"0,34";"0,46";"0,5";"0,55";"5,23";"5,02";"4,83";"4,82";"4,83"
2020-09-28;"0,23";"0,34";"0,47";"0,51";"0,56";"5,22";"5";"4,82";"4,81";"4,82"
2020-09-29;"0,23";"0,34";"0,47";"0,51";"0,56";"5,22";"5,01";"4,82";"4,81";"4,82"
2020-09-30;"0,23";"0,34";"0,47";"0,51";"0,56";"5,22";"5,01";"4,82";"4,81";"4,82"
2020-10-01;"0,23";"0,34";"0,46";"0,5";"0,55";"5,22";"5";"4,81";"4,8";"4,81"
2020-10-02;"0,24";"0,35";"0,46";"0,5";"0,55";"5,24";"5,02";"4,82";"4,82";"4,83"
2020-10-05;"0,24";"0,36";"0,46";"0,5";"0,55";"5,26";"5,03";"4,83";"4,81";"4,82"
2020-10-06;"0,23";"0,36";"0,45";"0,5";"0,55";"5,26";"5,04";"4,84";"4,82";"4,83"
2020-10-07;"0,24";"0,36";"0,45";"0,5";"0,55";"5,27";"5,04";"4,84";"4,83";"4,84"
2020-10-08;"0,24";"0,36";"0,45";"0,5";"0,55";"5,27";"5,04";"4,84";"4,83";"4,84"
2020-10-09;"0,23";"0,37";"0,46";"0,5";"0,55";"5,29";"5,06";"4,84";"4,84";"4,84"
2020-10-13;"0,23";"0,35";"0,45";"0,5";"0,54";"5,31";"5,07";"4,85";"4,86";"4,87"
2020-10-14;"0,22";"0,36";"0,45";"0,5";"0,54";"5,31";"5,07";"4,85";"4,86";"4,86"
2020-10-15;"0,23";"0,37";"0,49";"0,5";"0,54";"5,32";"5,09";"4,87";"4,86";"4,87"
2020-10-16;"0,23";"0,37";"0,49";"0,5";"0,54";"5,33";"5,1";"4,87";"4,87";"4,87"
2020-10-19;"0,22";"0,37";"0,49";"0,5";"0,54";"5,36";"5,12";"4,88";"4,88";"4,89"
2020-10-20;"0,22";"0,36";"0,49";"0,5";"0,54";"5,36";"5,13";"4,89";"4,88";"4,89"
2020-10-21;"0,21";"0,36";"0,48";"0,49";"0,53";"5,37";"5,13";"4,89";"4,88";"4,88"
2020-10-22;"0,2";"0,35";"0,47";"0,48";"0,52";"5,38";"5,12";"4,89";"4,88";"4,88"
2020-10-23;"0,21";"0,34";"0,48";"0,49";"0,54";"5,42";"5,15";"4,93";"4,88";"4,89"
2020-10-26;"0,21";"0,34";"0,48";"0,49";"0,53";"5,42";"5,15";"4,94";"4,88";"4,9"
2020-10-27;"0,21";"0,34";"0,48";"0,49";"0,53";"5,42";"5,15";"4,94";"4,88";"4,9"
2020-10-28;"0,21";"0,34";"0,48";"0,49";"0,53";"5,42";"5,15";"4,94";"4,88";"4,9"
2020-10-29;"0,21";"0,35";"0,48";"0,49";"0,53";"5,42";"5,16";"4,94";"4,89";"4,9"
2020-10-30;"0,21";"0,34";"0,47";"0,48";"0,52";"5,44";"5,17";"4,96";"4,9";"4,91"
2020-11-03;"0,21";"0,36";"0,47";"0,49";"0,53";"5,44";"5,18";"4,96";"4,9";"4,91"
2020-11-04;"0,21";"0,36";"0,47";"0,49";"0,53";"5,44";"5,18";"4,96";"4,9";"4,91"
2020-11-05;"0,21";"0,36";"0,48";"0,49";"0,53";"5,44";"5,18";"4,97";"4,91";"4,92"
2020-11-06;"0,21";"0,34";"0,47";"0,49";"0,53";"5,44";"5,2";"4,96";"4,89";"4,89"
2020-11-09;"0,2";"0,34";"0,48";"0,49";"0,53";"5,43";"5,19";"4,96";"4,89";"4,89"
2020-11-10;"0,2";"0,34";"0,48";"0,49";"0,53";"5,43";"5,19";"4,96";"4,89";"4,89"
2020-11-11;"0,2";"0,34";"0,48";"0,49";"0,53";"5,43";"5,19";"4,96";"4,89";"4,89"
2020-11-12;"0,2";"0,34";"0,48";"0,49";"0,53";"5,43";"5,19";"4,96";"4,89";"4,89"
2020-11-13;"0,2";"0,33";"0,48";"0,5";"0,54";"5,42";"5,19";"4,95";"4,89";"4,9"
