"Data";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2020-11-09;"-6,53";"-17,32";"-26,05";"-33,11";"-44,25"
2020-11-10;"-6,53";"-17,32";"-26,05";"-33,11";"-44,25"
2020-11-11;"-6,53";"-17,32";"-26,05";"-33,11";"-44,25"
2020-11-12;"-6,53";"-17,32";"-26,05";"-33,11";"-44,25"
2020-11-13;"-6,01";"-15,65";"-26,65";"-33,6";"-44,83"
2020-11-16;"-6,1";"-16,54";"-27,48";"-34,26";"-44,83"
2020-11-17;"-6,1";"-16,54";"-27,05";"-33,88";"-44,83"
2020-11-18;"-6,1";"-16,54";"-27,05";"-33,88";"-44,83"
2020-11-19;"-5,98";"-16,51";"-26,13";"-31,92";"-42,29"
2020-11-20;"-5,82";"-16,36";"-26,8";"-32,95";"-43,57"
