"Data";"Media 2020";"Media 2021";"Media 2022";"Media 2023";"Media 2024"
2020-11-09;"47,79";"64,12";"72,78";"75,69";"79,73"
2020-11-10;"46,88";"63,74";"72,65";"75,69";"79,73"
2020-11-11;"46,88";"63,74";"72,65";"75,69";"79,73"
2020-11-12;"46,88";"63,74";"72,65";"75,69";"79,73"
2020-11-13;"46,73";"62,76";"71,23";"74,65";"79,75"
2020-11-16;"46,58";"62,89";"71,65";"75,69";"79,75"
2020-11-17;"46,58";"62,89";"72,05";"76,05";"79,75"
2020-11-18;"46,58";"62,89";"72,05";"76,05";"79,75"
2020-11-19;"46,65";"63,58";"72,71";"76,72";"80,98"
2020-11-20;"45,71";"62,74";"72,53";"76,6";"80,44"
